date,slot,period,price,buy_kwh,E_kwh
2025-03-20,83,13:40-13:50,0.9026,0,10602.17733
2025-03-20,84,13:50-14:00,0.9754,0,10696.49079
2025-03-20,85,14:00-14:10,1.0002,0,10774.48029
2025-03-20,86,14:10-14:20,0.9978,0,10800
2025-03-20,87,14:20-14:30,1.0271,0,10779.3845555556
2025-03-20,88,14:30-14:40,1.0906,0,10735.4766851852
2025-03-20,89,14:40-14:50,0.9376,0,10657.373037037
2025-03-20,90,14:50-15:00,0.6694,126.358516666667,10657.373037037
2025-03-20,91,15:00-15:10,0.66,339.118569958847,10800
2025-03-20,92,15:10-15:20,0.7217,197.318566666667,10800
2025-03-20,93,15:20-15:30,0.7308,248.806766666667,10800
2025-03-20,94,15:30-15:40,0.7534,340.1425,10800
2025-03-20,95,15:40-15:50,0.7823,402.782266666667,10800
2025-03-20,96,15:50-16:00,0.8055,452.45245,10800
2025-03-20,97,16:00-16:10,0.8271,507.324166666667,10800
2025-03-20,98,16:10-16:20,0.8519,562.26155,10800
2025-03-20,99,16:20-16:30,0.8791,599.067216666667,10800
2025-03-20,100,16:30-16:40,0.9024,630.75625,10800
2025-03-20,101,16:40-16:50,0.9163,688.73555,10800
2025-03-20,102,16:50-17:00,0.9264,742.724283333333,10800
2025-03-20,103,17:00-17:10,0.9462,787.412916666666,10800
2025-03-20,104,17:10-17:20,0.9742,843.23245,10800
2025-03-20,105,17:20-17:30,0.9862,873.855183333333,10800
2025-03-20,106,17:30-17:40,0.976,904.72375,10800
2025-03-20,107,17:40-17:50,1.0742,973.09075,10800
2025-03-20,108,17:50-18:00,1.2313,873.003183333333,10800
2025-03-20,109,18:00-18:10,1.2561,682.353333333333,10800
2025-03-20,110,18:10-18:20,1.2447,697.997283333333,10800
2025-03-20,111,18:20-18:30,1.2545,739.308216666667,10800
2025-03-20,112,18:30-18:40,1.2522,709.241666666667,10800
2025-03-20,113,18:40-18:50,1.2881,140.553416666665,10162.3673333333
2025-03-20,114,18:50-19:00,1.3466,0,9334.61807407407
2025-03-20,115,19:00-19:10,1.3523,0,8486.61066666667
2025-03-20,116,19:10-19:20,1.3445,0,7656.92396296296
2025-03-20,117,19:20-19:30,1.3483,0,6863.30674074074
2025-03-20,118,19:30-19:40,1.349,0,6086.12525925926
2025-03-20,119,19:40-19:50,1.3473,0,5284.11259259259
2025-03-20,120,19:50-20:00,1.3482,0,4474.67814814815
2025-03-20,121,20:00-20:10,1.3513,0,3667.60222222222
2025-03-20,122,20:10-20:20,1.34,0,2818.33942592593
2025-03-20,123,20:20-20:30,1.3489,0,1980.62407407407
2025-03-20,124,20:30-20:40,1.3952,0,1200
2025-03-20,125,20:40-20:50,1.2226,709.374483333333,1200
2025-03-20,126,20:50-21:00,0.9332,719.835983333333,1200
2025-03-20,127,21:00-21:10,0.9068,709.541666666667,1200
2025-03-20,128,21:10-21:20,0.9371,715.044683333333,1200
2025-03-20,129,21:20-21:30,0.9371,736.4506,1200
2025-03-20,130,21:30-21:40,0.9871,758.933333333333,1200
2025-03-20,131,21:40-21:50,0.7764,754.375466666667,1200
2025-03-20,132,21:50-22:00,0.4209,666.937533333333,1200
2025-03-20,133,22:00-22:10,0.3859,553.156666666667,1200
2025-03-20,134,22:10-22:20,0.4368,538.901466666667,1200
2025-03-20,135,22:20-22:30,0.4198,553.3285,1200
2025-03-20,136,22:30-22:40,0.4186,542.64,1200
2025-03-20,137,22:40-22:50,0.4241,524.0221,1200
2025-03-20,138,22:50-23:00,0.4237,526.969566666667,1200
2025-03-20,139,23:00-23:10,0.4248,549.4,1200
2025-03-20,140,23:10-23:20,0.424,559.40135,1200
2025-03-20,141,23:20-23:30,0.422,543.627933333333,1200
2025-03-20,142,23:30-23:40,0.424,544.621666666667,1200
2025-03-20,143,23:40-23:50,0.4271,600.679333333333,1200
2025-03-20,144,23:50-24:00,0.4276,540.978183333333,1200
2025-06-21,1,00:00-00:10,0.4248,1371.825,1950
2025-06-21,2,00:10-00:20,0.4245,1347.9973,2700
2025-06-21,3,00:20-00:30,0.4269,600.67206563786,2760.59107407407
2025-06-21,4,00:30-00:40,0.4272,566.91,2760.59107407407
2025-06-21,5,00:40-00:50,0.4271,510.587683333333,2760.59107407407
2025-06-21,6,00:50-01:00,0.4285,470.042866666667,2760.59107407407
2025-06-21,7,01:00-01:10,0.4311,480.563333333333,2760.59107407407
2025-06-21,8,01:10-01:20,0.4302,478.329933333333,2760.59107407407
2025-06-21,9,01:20-01:30,0.4279,497.638116666667,2760.59107407407
2025-06-21,10,01:30-01:40,0.4312,527.363333333333,2760.59107407407
2025-06-21,11,01:40-01:50,0.4333,510.807616666667,2760.59107407407
2025-06-21,12,01:50-02:00,0.4311,492.340983333333,2760.59107407407
2025-06-21,13,02:00-02:10,0.4293,499.103333333333,2760.59107407407
2025-06-21,14,02:10-02:20,0.4324,512.0669,2760.59107407407
2025-06-21,15,02:20-02:30,0.4367,502.183583333333,2760.59107407407
2025-06-21,16,02:30-02:40,0.4348,473.125,2760.59107407407
2025-06-21,17,02:40-02:50,0.4335,458.319983333333,2760.59107407407
2025-06-21,18,02:50-03:00,0.4357,470.09745,2760.59107407407
2025-06-21,19,03:00-03:10,0.4374,489.373333333333,2760.59107407407
2025-06-21,20,03:10-03:20,0.4371,486.698033333333,2760.59107407407
2025-06-21,21,03:20-03:30,0.4356,491.8388,2760.59107407407
2025-06-21,22,03:30-03:40,0.4353,496.251666666667,2760.59107407407
2025-06-21,23,03:40-03:50,0.436,463.3803,2760.59107407407
2025-06-21,24,03:50-04:00,0.4378,454.71765,2760.59107407407
2025-06-21,25,04:00-04:10,0.4401,477.031666666667,2760.59107407407
2025-06-21,26,04:10-04:20,0.4389,474.281983333333,2760.59107407407
2025-06-21,27,04:20-04:30,0.4364,458.1585,2760.59107407407
2025-06-21,28,04:30-04:40,0.4393,446.218333333333,2760.59107407407
2025-06-21,29,04:40-04:50,0.4422,442.953283333333,2760.59107407407
2025-06-21,30,04:50-05:00,0.4395,450.38675,2760.59107407407
2025-06-21,31,05:00-05:10,0.4333,454.174166666667,2760.59107407407
2025-06-21,32,05:10-05:20,0.4439,424.658716666667,2760.59107407407
2025-06-21,33,05:20-05:30,0.4301,390.48345,2760.59107407407
2025-06-21,34,05:30-05:40,0.3713,1204.17916666667,3510.59107407407
2025-06-21,35,05:40-05:50,0.5708,0,3111.05996296296
2025-06-21,36,05:50-06:00,0.9099,0,2736.57672222222
2025-06-21,37,06:00-06:10,0.9368,0,2393.81005555556
2025-06-21,38,06:10-06:20,0.8758,0,2069.40727777778
2025-06-21,39,06:20-06:30,0.8759,0,1795.5502037037
2025-06-21,40,06:30-06:40,0.8601,0,1610.71548148148
2025-06-21,41,06:40-06:50,0.8442,0,1502.50972222222
2025-06-21,42,06:50-07:00,0.8334,0,1406.7185
2025-06-21,43,07:00-07:10,0.8092,0,1294.67775925926
2025-06-21,44,07:10-07:20,0.7972,0,1224.36409259259
2025-06-21,45,07:20-07:30,0.7644,0,1200
2025-06-21,46,07:30-07:40,0.6899,0,1200
2025-06-21,47,07:40-07:50,0.86,0,1200
2025-06-21,48,07:50-08:00,1.1617,0,1200
2025-06-21,49,08:00-08:10,1.1683,0,1200
2025-06-21,50,08:10-08:20,1.0956,0,1200
2025-06-21,51,08:20-08:30,1.0849,0,1392.121695
2025-06-21,52,08:30-08:40,1.061,0,1590.288195
2025-06-21,53,08:40-08:50,1.043,0,1590.288195
2025-06-21,54,08:50-09:00,1.036,0,1590.288195
2025-06-21,55,09:00-09:10,1.0147,0,1590.288195
2025-06-21,56,09:10-09:20,0.9922,0,1734.44604
2025-06-21,57,09:20-09:30,0.97,0,1734.44604
2025-06-21,58,09:30-09:40,0.9422,0,1734.44604
2025-06-21,59,09:40-09:50,0.9569,0,1734.44604
2025-06-21,60,09:50-10:00,0.9977,0,1734.44604
2025-06-21,61,10:00-10:10,0.9919,0,1734.44604
2025-06-21,62,10:10-10:20,0.9588,0,1734.44604
2025-06-21,63,10:20-10:30,0.9549,0,2174.56146
2025-06-21,64,10:30-10:40,0.9839,0,2174.56146
2025-06-21,65,10:40-10:50,0.799,0,2174.56146
2025-06-21,66,10:50-11:00,0.5025,0,2726.195145
2025-06-21,67,11:00-11:10,0.4662,0,3284.328645
2025-06-21,68,11:10-11:20,0.5007,0,3788.473395
2025-06-21,69,11:20-11:30,0.4827,0,4370.81166
2025-06-21,70,11:30-11:40,0.4785,0,5097.48141
2025-06-21,71,11:40-11:50,0.4662,0,5768.817465
2025-06-21,72,11:50-12:00,0.4432,0,6361.82106
2025-06-21,73,12:00-12:10,0.4411,0,6966.925935
2025-06-21,74,12:10-12:20,0.4551,0,7613.234175
2025-06-21,75,12:20-12:30,0.4463,0,8280.54522
2025-06-21,76,12:30-12:40,0.4113,0,8948.713095
2025-06-21,77,12:40-12:50,0.5682,0,8948.713095
2025-06-21,78,12:50-13:00,0.8279,0,8948.713095
2025-06-21,79,13:00-13:10,0.8636,0,8948.713095
2025-06-21,80,13:10-13:20,0.8416,0,9486.15528
2025-06-21,81,13:20-13:30,0.8618,0,9486.15528
2025-06-21,82,13:30-13:40,0.8623,0,10048.894905
2025-06-21,83,13:40-13:50,0.9026,0,10048.894905
2025-06-21,84,13:50-14:00,0.9754,0,10048.894905
2025-06-21,85,14:00-14:10,1.0002,0,10363.047405
2025-06-21,86,14:10-14:20,0.9978,0,10363.047405
2025-06-21,87,14:20-14:30,1.0271,0,10363.047405
2025-06-21,88,14:30-14:40,1.0906,0,10363.047405
2025-06-21,89,14:40-14:50,0.9376,0,10623.628815
2025-06-21,90,14:50-15:00,0.6694,0,10800
2025-06-21,91,15:00-15:10,0.66,0,10800
2025-06-21,92,15:10-15:20,0.7217,0,10800
2025-06-21,93,15:20-15:30,0.7308,0,10800
2025-06-21,94,15:30-15:40,0.7534,0,10800
2025-06-21,95,15:40-15:50,0.7823,0,10800
2025-06-21,96,15:50-16:00,0.8055,0,10800
2025-06-21,97,16:00-16:10,0.8271,27.005,10800
2025-06-21,98,16:10-16:20,0.8519,78.57155,10800
2025-06-21,99,16:20-16:30,0.8791,103.2043,10800
2025-06-21,100,16:30-16:40,0.9024,105.9075,10800
2025-06-21,101,16:40-16:50,0.9163,115.424033333333,10800
2025-06-21,102,16:50-17:00,0.9264,109.619683333333,10800
2025-06-21,103,17:00-17:10,0.9462,102.78125,10800
2025-06-21,104,17:10-17:20,0.9742,142.627433333333,10800
2025-06-21,105,17:20-17:30,0.9862,212.795,10800
2025-06-21,106,17:30-17:40,0.976,288.967916666667,10800
2025-06-21,107,17:40-17:50,1.0742,353.470166666667,10800
2025-06-21,108,17:50-18:00,1.2313,382.320916666667,10800
2025-06-21,109,18:00-18:10,1.2561,0,10371.2203703704
2025-06-21,110,18:10-18:20,1.2447,190.98365,10136.3588333333
2025-06-21,111,18:20-18:30,1.2545,0,9651.22022222222
2025-06-21,112,18:30-18:40,1.2522,0,9116.01837037037
2025-06-21,113,18:40-18:50,1.2881,0,8526.98596296296
2025-06-21,114,18:50-19:00,1.3466,0,7876.48075925926
2025-06-21,115,19:00-19:10,1.3523,0,7164.45159259259
2025-06-21,116,19:10-19:20,1.3445,0,6422.79525925926
2025-06-21,117,19:20-19:30,1.3483,0,5736.96535185185
2025-06-21,118,19:30-19:40,1.349,0,5127.06164814815
2025-06-21,119,19:40-19:50,1.3473,0,4480.29768518519
2025-06-21,120,19:50-20:00,1.3482,0,3833.9212962963
2025-06-21,121,20:00-20:10,1.3513,0,3243.25092592593
2025-06-21,122,20:10-20:20,1.34,0,2623.20711111111
2025-06-21,123,20:20-20:30,1.3489,0,1933.35740740741
2025-06-21,124,20:30-20:40,1.3952,0,1200
2025-06-21,125,20:40-20:50,1.2226,646.97075,1200
2025-06-21,126,20:50-21:00,0.9332,585.61195,1200
2025-06-21,127,21:00-21:10,0.9068,526.72,1200
2025-06-21,128,21:10-21:20,0.9371,535.7851,1200
2025-06-21,129,21:20-21:30,0.9371,581.51715,1200
2025-06-21,130,21:30-21:40,0.9871,618.915,1200
2025-06-21,131,21:40-21:50,0.7764,619.241283333333,1200
2025-06-21,132,21:50-22:00,0.4209,576.779466666667,1200
2025-06-21,133,22:00-22:10,0.3859,528.28,1200
2025-06-21,134,22:10-22:20,0.4368,526.873733333333,1200
2025-06-21,135,22:20-22:30,0.4198,544.741083333333,1200
2025-06-21,136,22:30-22:40,0.4186,552.865,1200
2025-06-21,137,22:40-22:50,0.4241,546.83985,1200
2025-06-21,138,22:50-23:00,0.4237,541.7929,1200
2025-06-21,139,23:00-23:10,0.4248,531.731666666667,1200
2025-06-21,140,23:10-23:20,0.424,499.822716666667,1200
2025-06-21,141,23:20-23:30,0.422,486.82905,1200
2025-06-21,142,23:30-23:40,0.424,498.216666666667,1200
2025-06-21,143,23:40-23:50,0.4271,504.095166666667,1200
2025-06-21,144,23:50-24:00,0.4276,532.219016666667,1200
2025-09-23,1,00:00-00:10,0.4248,1404.19,1950
2025-09-23,2,00:10-00:20,0.4245,1403.51766666667,2700
2025-09-23,3,00:20-00:30,0.4269,1393.65151666667,3450
2025-09-23,4,00:30-00:40,0.4272,1398.1,4200
2025-09-23,5,00:40-00:50,0.4271,1431.84225,4950
2025-09-23,6,00:50-01:00,0.4285,1439.84398333333,5700
2025-09-23,7,01:00-01:10,0.4311,1256.43666666667,6300
2025-09-23,8,01:10-01:20,0.4302,1430.68668333333,7050
2025-09-23,9,01:20-01:30,0.4279,1413.305,7800
2025-09-23,10,01:30-01:40,0.4312,552.68,7800
2025-09-23,11,01:40-01:50,0.4333,584.05335,7800
2025-09-23,12,01:50-02:00,0.4311,1435.19495,8550
2025-09-23,13,02:00-02:10,0.4293,1423.94,9300
2025-09-23,14,02:10-02:20,0.4324,604.56305,9300
2025-09-23,15,02:20-02:30,0.4367,607.79955,9300
2025-09-23,16,02:30-02:40,0.4348,594.986666666667,9300
2025-09-23,17,02:40-02:50,0.4335,598.5124,9300
2025-09-23,18,02:50-03:00,0.4357,587.279766666667,9300
2025-09-23,19,03:00-03:10,0.4374,567.005,9300
2025-09-23,20,03:10-03:20,0.4371,578.479933333333,9300
2025-09-23,21,03:20-03:30,0.4356,591.051966666667,9300
2025-09-23,22,03:30-03:40,0.4353,586.85,9300
2025-09-23,23,03:40-03:50,0.436,582.173583333333,9300
2025-09-23,24,03:50-04:00,0.4378,602.753333333333,9300
2025-09-23,25,04:00-04:10,0.4401,623.128333333333,9300
2025-09-23,26,04:10-04:20,0.4389,595.522683333333,9300
2025-09-23,27,04:20-04:30,0.4364,591.470933333333,9300
2025-09-23,28,04:30-04:40,0.4393,616.071666666667,9300
2025-09-23,29,04:40-04:50,0.4422,604.8963,9300
2025-09-23,30,04:50-05:00,0.4395,600.415816666667,9300
2025-09-23,31,05:00-05:10,0.4333,618.123333333333,9300
2025-09-23,32,05:10-05:20,0.4439,625.165266666667,9300
2025-09-23,33,05:20-05:30,0.4301,1448.24146666667,10050
2025-09-23,34,05:30-05:40,0.3713,1426.28,10800
2025-09-23,35,05:40-05:50,0.5708,583.97805,10800
2025-09-23,36,05:50-06:00,0.9099,0,10058.9850740741
2025-09-23,37,06:00-06:10,0.9368,0,9180.5147037037
2025-09-23,38,06:10-06:20,0.8758,0,8298.54572222222
2025-09-23,39,06:20-06:30,0.8759,0,7473.36814814815
2025-09-23,40,06:30-06:40,0.8601,0,6706.18064814815
2025-09-23,41,06:40-06:50,0.8442,0,6005.53174074074
2025-09-23,42,06:50-07:00,0.8334,0,5355.66268518519
2025-09-23,43,07:00-07:10,0.8092,0,4748.75990740741
2025-09-23,44,07:10-07:20,0.7972,318.588733333332,4564.16646296296
2025-09-23,45,07:20-07:30,0.7644,425.30835,4564.16646296296
2025-09-23,46,07:30-07:40,0.6899,361.320416666667,4564.16646296296
2025-09-23,47,07:40-07:50,0.86,0,4246.9795
2025-09-23,48,07:50-08:00,1.1617,0,3849.50148148148
2025-09-23,49,08:00-08:10,1.1683,0,3303.58527777778
2025-09-23,50,08:10-08:20,1.0956,0,2832.22194444444
2025-09-23,51,08:20-08:30,1.0849,0,2454.11122222222
2025-09-23,52,08:30-08:40,1.061,0,2095.34594444444
2025-09-23,53,08:40-08:50,1.043,0,1798.49622222222
2025-09-23,54,08:50-09:00,1.036,0,1601.81068518518
2025-09-23,55,09:00-09:10,1.0147,0,1487.04772222222
2025-09-23,56,09:10-09:20,0.9922,0,1388.68046296296
2025-09-23,57,09:20-09:30,0.97,0,1304.90964814815
2025-09-23,58,09:30-09:40,0.9422,0,1253.399
2025-09-23,59,09:40-09:50,0.9569,0,1215.53159259259
2025-09-23,60,09:50-10:00,0.9977,0,1200
2025-09-23,61,10:00-10:10,0.9919,0,1204.770375
2025-09-23,62,10:10-10:20,0.9588,0,1201.00485648148
2025-09-23,63,10:20-10:30,0.9549,0,1242.32706648148
2025-09-23,64,10:30-10:40,0.9839,0,1362.86556648148
2025-09-23,65,10:40-10:50,0.799,0,1494.97571148148
2025-09-23,66,10:50-11:00,0.5025,0,1610.00747148148
2025-09-23,67,11:00-11:10,0.4662,685.1475,2360.00747148148
2025-09-23,68,11:10-11:20,0.5007,0,2574.15501648148
2025-09-23,69,11:20-11:30,0.4827,437.391926131687,3252.656415
2025-09-23,70,11:30-11:40,0.4785,505.297083333333,4002.656415
2025-09-23,71,11:40-11:50,0.4662,537.392783333333,4752.656415
2025-09-23,72,11:50-12:00,0.4432,489.356883333333,5502.656415
2025-09-23,73,12:00-12:10,0.4411,380.02125,6252.656415
2025-09-23,74,12:10-12:20,0.4551,354.194633333333,7002.656415
2025-09-23,75,12:20-12:30,0.4463,391.4293,7752.656415
2025-09-23,76,12:30-12:40,0.4113,412.32375,8502.656415
2025-09-23,77,12:40-12:50,0.5682,0,8917.07268
2025-09-23,78,12:50-13:00,0.8279,0,9285.3336
2025-09-23,79,13:00-13:10,0.8636,0,9544.324725
2025-09-23,80,13:10-13:20,0.8416,0,9789.04455
2025-09-23,81,13:20-13:30,0.8618,0,10040.095605
2025-09-23,82,13:30-13:40,0.8623,0,10263.84423
2025-09-23,83,13:40-13:50,0.9026,0,10448.736795
2025-09-23,84,13:50-14:00,0.9754,0,10589.18586
2025-09-23,85,14:00-14:10,1.0002,0,10692.000735
2025-09-23,86,14:10-14:20,0.9978,0,10772.90418
2025-09-23,87,14:20-14:30,1.0271,0,10800
2025-09-23,88,14:30-14:40,1.0906,0,10729.1574074074
2025-09-23,89,14:40-14:50,0.9376,0,10576.618
2025-09-23,90,14:50-15:00,0.6694,202.581116666667,10576.618
2025-09-23,91,15:00-15:10,0.66,498.375972222224,10800
2025-09-23,92,15:10-15:20,0.7217,255.88385,10800
2025-09-23,93,15:20-15:30,0.7308,287.7842,10800
2025-09-23,94,15:30-15:40,0.7534,327.535416666667,10800
2025-09-23,95,15:40-15:50,0.7823,302.307266666667,10800
2025-09-23,96,15:50-16:00,0.8055,352.949183333333,10800
2025-09-23,97,16:00-16:10,0.8271,493.5825,10800
2025-09-23,98,16:10-16:20,0.8519,589.43265,10800
2025-09-23,99,16:20-16:30,0.8791,635.81365,10800
2025-09-23,100,16:30-16:40,0.9024,668.235416666667,10800
2025-09-23,101,16:40-16:50,0.9163,716.347533333333,10800
2025-09-23,102,16:50-17:00,0.9264,764.822683333333,10800
2025-09-23,103,17:00-17:10,0.9462,814.05375,10800
2025-09-23,104,17:10-17:20,0.9742,877.086983333333,10800
2025-09-23,105,17:20-17:30,0.9862,913.336616666667,10800
2025-09-23,106,17:30-17:40,0.976,956.38375,10800
2025-09-23,107,17:40-17:50,1.0742,1051.86266666667,10800
2025-09-23,108,17:50-18:00,1.2313,959.165316666667,10800
2025-09-23,109,18:00-18:10,1.2561,752.645,10800
2025-09-23,110,18:10-18:20,1.2447,764.32985,10800
2025-09-23,111,18:20-18:30,1.2545,830.227266666667,10800
2025-09-23,112,18:30-18:40,1.2522,834.416666666667,10800
2025-09-23,113,18:40-18:50,1.2881,836.15965,10800
2025-09-23,114,18:50-19:00,1.3466,0,9899.59477777778
2025-09-23,115,19:00-19:10,1.3523,0,9035.78737037037
2025-09-23,116,19:10-19:20,1.3445,0,8147.89972222222
2025-09-23,117,19:20-19:30,1.3483,0,7230.57098148148
2025-09-23,118,19:30-19:40,1.349,0,6321.8857962963
2025-09-23,119,19:40-19:50,1.3473,0,5447.62318518518
2025-09-23,120,19:50-20:00,1.3482,0,4576.26885185185
2025-09-23,121,20:00-20:10,1.3513,0,3674.14477777778
2025-09-23,122,20:10-20:20,1.34,267.114483333334,3051.85185185185
2025-09-23,123,20:20-20:30,1.3489,10.2343666666667,2125.92592592593
2025-09-23,124,20:30-20:40,1.3952,6.375,1200
2025-09-23,125,20:40-20:50,1.2226,784.895283333333,1200
2025-09-23,126,20:50-21:00,0.9332,801.6618,1200
2025-09-23,127,21:00-21:10,0.9068,869.216666666667,1200
2025-09-23,128,21:10-21:20,0.9371,842.524383333333,1200
2025-09-23,129,21:20-21:30,0.9371,804.595183333333,1200
2025-09-23,130,21:30-21:40,0.9871,813.381666666667,1200
2025-09-23,131,21:40-21:50,0.7764,829.869133333333,1200
2025-09-23,132,21:50-22:00,0.4209,768.1865,1200
2025-09-23,133,22:00-22:10,0.3859,639.243333333333,1200
2025-09-23,134,22:10-22:20,0.4368,553.441566666667,1200
2025-09-23,135,22:20-22:30,0.4198,582.678566666667,1200
2025-09-23,136,22:30-22:40,0.4186,647.206666666667,1200
2025-09-23,137,22:40-22:50,0.4241,596.69985,1200
2025-09-23,138,22:50-23:00,0.4237,555.352283333333,1200
2025-09-23,139,23:00-23:10,0.4248,569.35,1200
2025-09-23,140,23:10-23:20,0.424,564.655866666667,1200
2025-09-23,141,23:20-23:30,0.422,576.501566666667,1200
2025-09-23,142,23:30-23:40,0.424,610.325,1200
2025-09-23,143,23:40-23:50,0.4271,617.0673,1200
2025-09-23,144,23:50-24:00,0.4276,568.298083333333,1200
2025-12-21,1,00:00-00:10,0.4248,1395.545,1950
2025-12-21,2,00:10-00:20,0.4245,1429.35105,2700
2025-12-21,3,00:20-00:30,0.4269,1422.9785,3450
2025-12-21,4,00:30-00:40,0.4272,1412.01666666667,4200
2025-12-21,5,00:40-00:50,0.4271,1398.04336666667,4950
2025-12-21,6,00:50-01:00,0.4285,1383.23721666667,5700
2025-12-21,7,01:00-01:10,0.4311,1224.87666666667,6300
2025-12-21,8,01:10-01:20,0.4302,1443.68185,7050
2025-12-21,9,01:20-01:30,0.4279,1466.56928333333,7800
