slot,period,price,buy_kwh,g_load_kwh,g_chg_kwh,pv_load_kwh,pv_chg_kwh,chg_kwh,dis_kwh,curt_kwh,E_kwh
66,10:50-11:00,0.799,0,0,0,974.1658,225.406116666667,225.406116666667,0,0,2751.20573574074
67,11:00-11:10,0.5025,0,0,0,973.17645,244.00925,244.00925,0,0,2970.81406074074
68,11:10-11:20,0.4662,575.170916666667,0,575.170916666667,973.118383333333,258.162416666667,833.333333333333,0,0,3720.81406074074
69,11:20-11:30,0.5007,0,0,0,970.572966666667,272.631533333333,272.631533333333,0,0,3966.18244074074
70,11:30-11:40,0.4827,0,0,0,969.1322,284.320983333333,284.320983333333,0,0,4222.07132574074
71,11:40-11:50,0.4785,179.277171399178,0,179.277171399178,972.06585,289.301466666667,468.578638065845,0,0,4643.7921
72,11:50-12:00,0.4662,520.124516666667,0,520.124516666667,952.150166666667,313.208816666667,833.333333333333,0,0,5393.7921
73,12:00-12:10,0.4432,486.4029,0,486.4029,919.910116666667,346.930433333333,833.333333333333,0,0,6143.7921
74,12:10-12:20,0.4411,480.41245,0,480.41245,915.79845,352.920883333333,833.333333333333,0,0,6893.7921
75,12:20-12:30,0.4551,485.3,0,485.3,919.0754,348.033333333333,833.333333333333,0,0,7643.7921
76,12:30-12:40,0.4463,488.606966666667,0,488.606966666667,914.304833333333,344.726366666667,833.333333333333,0,0,8393.7921
77,12:40-12:50,0.4113,498.270733333333,0,498.270733333333,910.3938,335.0626,833.333333333333,0,0,9143.7921
78,12:50-13:00,0.5682,0,0,0,927.684433333333,304.551766666667,304.551766666667,0,0,9417.88869
79,13:00-13:10,0.8279,0,0,0,954.292466666667,264.507183333333,264.507183333333,0,0,9655.945155
80,13:10-13:20,0.8636,0,0,0,956.582616666667,242.50755,242.50755,0,0,9874.20195
81,13:20-13:30,0.8416,0,0,0,952.447266666667,223.075583333333,223.075583333333,0,0,10074.969975
82,13:30-13:40,0.8618,0,0,0,952.975083333333,198.759316666667,198.759316666667,0,0,10253.85336
83,13:40-13:50,0.8623,0,0,0,951.374766666667,177.359816666667,177.359816666667,0,0,10413.477195
84,13:50-14:00,0.9026,0,0,0,949.486366666667,151.7403,151.7403,0,0,10550.043465
85,14:00-14:10,0.9754,0,0,0,948.716383333333,120.035033333333,120.035033333333,0,0,10658.074995
86,14:10-14:20,1.0002,0,0,0,947.85485,87.81445,87.81445,0,0,10737.108
87,14:20-14:30,0.9978,0,0,0,946.493666666667,53.6248666666665,53.6248666666665,0,0,10785.37038
88,14:30-14:40,1.0271,0,0,0,944.908466666667,16.2551333333334,16.2551333333334,0,0,10800
89,14:40-14:50,1.0906,0,0,0,920.2511,0,0,23.7813666666667,0,10773.5762592593
90,14:50-15:00,0.9376,0,0,0,878.130166666667,0,0,67.3200166666667,0,10698.7762407407
91,15:00-15:10,0.6694,112.089866666667,112.089866666667,0,834.952533333333,0,0,0,0,10698.7762407407
92,15:10-15:20,0.66,266.732693621399,154.26185,112.470843621399,790.574733333333,0,112.470843621399,0,0,10800
93,15:20-15:30,0.7217,197.523516666667,197.523516666667,0,745.204,0,0,0,0,10800
94,15:30-15:40,0.7308,244.814033333333,244.814033333333,0,698.03375,0,0,0,0,10800
95,15:40-15:50,0.7534,295.534616666667,295.534616666667,0,648.232183333333,0,0,0,0,10800
96,15:50-16:00,0.7823,345.7775,345.7775,0,599.0991,0,0,0,0,10800
97,16:00-16:10,0.8055,394.931483333333,394.931483333333,0,550.647966666667,0,0,0,0,10800
98,16:10-16:20,0.8271,445.43165,445.43165,0,499.73745,0,0,0,0,10800
99,16:20-16:30,0.8519,495.696583333333,495.696583333333,0,447.902183333333,0,0,0,0,10800
100,16:30-16:40,0.8791,547.11905,547.11905,0,397.196316666667,0,0,0,0,10800
101,16:40-16:50,0.9024,599.985433333333,599.985433333333,0,348.187433333333,0,0,0,0,10800
102,16:50-17:00,0.9163,635.42975,635.42975,0,298.513816666667,0,0,0,0,10800
103,17:00-17:10,0.9264,660.830683333333,660.830683333333,0,250.28805,0,0,0,0,10800
104,17:10-17:20,0.9462,702.036933333333,702.036933333333,0,209.195383333333,0,0,0,0,10800
105,17:20-17:30,0.9742,738.065783333333,738.065783333333,0,172.72205,0,0,0,0,10800
106,17:30-17:40,0.9862,775.944716666667,775.944716666667,0,139.462916666667,0,0,0,0,10800
107,17:40-17:50,0.976,826.08325,826.08325,0,110.871883333333,0,0,0,0,10800
108,17:50-18:00,1.0742,762.4228,762.4228,0,86.1126333333333,0,0,0,0,10800
109,18:00-18:10,1.2313,636.982616666667,636.982616666667,0,64.4455166666667,0,0,0,0,10800
110,18:10-18:20,1.2561,531.89405,531.89405,0,45.96555,0,0,109.26725,0,10678.5919444444
111,18:20-18:30,1.2447,678.830533333333,678.830533333333,0,30.4921,0,0,0,0,10678.5919444444
112,18:30-18:40,1.2545,686.2685,686.2685,0,18.0569,0,0,0,0,10678.5919444444
113,18:40-18:50,1.2522,696.504383333333,696.504383333333,0,9.05201666666667,0,0,0,0,10678.5919444444
114,18:50-19:00,1.2881,0,0,0,3.10948333333333,0,0,704.634266666667,0,9895.66498148148
115,19:00-19:10,1.3466,0,0,0,0.0458833333333333,0,0,706.484033333333,0,9110.68272222222
116,19:10-19:20,1.3523,0,0,0,0.0382666666666667,0,0,707.406466666667,0,8324.67553703704
117,19:20-19:30,1.3445,0,0,0,0.100116666666667,0,0,708.553,0,7537.39442592593
118,19:30-19:40,1.3483,0,0,0,0,0,0,709.446883333333,0,6749.12011111111
119,19:40-19:50,1.349,0,0,0,0,0,0,711.23245,0,5958.86183333333
120,19:50-20:00,1.3473,0,0,0,0,0,0,711.6625,0,5168.12572222222
121,20:00-20:10,1.3482,0,0,0,0,0,0,711.445033333333,0,4377.63124074074
122,20:10-20:20,1.3513,0,0,0,0,0,0,713.704083333333,0,3584.6267037037
123,20:20-20:30,1.34,0,0,0,0,0,0,715.28415,0,2789.86653703704
124,20:30-20:40,1.3489,0,0,0,0,0,0,715.22685,0,1995.17003703704
125,20:40-20:50,1.3952,0,0,0,0,0,0,715.653033333333,0,1200
126,20:50-21:00,1.2226,715.868916666667,715.868916666667,0,0,0,0,0,0,1200
127,21:00-21:10,0.9332,717.005116666667,717.005116666667,0,0,0,0,0,0,1200
128,21:10-21:20,0.9068,720.1603,720.1603,0,0,0,0,0,0,1200
129,21:20-21:30,0.9371,717.054866666667,717.054866666667,0,0,0,0,0,0,1200
130,21:30-21:40,0.9371,720.445966666667,720.445966666667,0,0,0,0,0,0,1200
131,21:40-21:50,0.9871,738.134716666667,738.134716666667,0,0,0,0,0,0,1200
132,21:50-22:00,0.7764,671.693566666667,671.693566666667,0,0,0,0,0,0,1200
133,22:00-22:10,0.4209,1393.79031666667,560.456983333333,833.333333333333,0,0,833.333333333333,0,0,1950
134,22:10-22:20,0.3859,1384.8989,551.565566666667,833.333333333333,0,0,833.333333333333,0,0,2700
135,22:20-22:30,0.4368,568.82605,568.82605,0,0,0,0,0,0,2700
136,22:30-22:40,0.4198,1396.98855,563.655216666667,833.333333333333,0,0,833.333333333333,0,0,3450
137,22:40-22:50,0.4186,1397.75986666667,564.426533333333,833.333333333333,0,0,833.333333333333,0,0,4200
138,22:50-23:00,0.4241,566.747433333333,566.747433333333,0,0,0,0,0,0,4200
139,23:00-23:10,0.4237,1399.87376666667,566.540433333333,833.333333333333,0,0,833.333333333333,0,0,4950
140,23:10-23:20,0.4248,567.83015,567.83015,0,0,0,0,0,0,4950
141,23:20-23:30,0.424,902.691966666667,569.358633333333,333.333333333333,0,0,333.333333333333,0,0,5250
142,23:30-23:40,0.422,1403.66351666667,570.330183333333,833.333333333333,0,0,833.333333333333,0,0,6000
143,23:40-23:50,0.424,571.615383333333,571.615383333333,0,0,0,0,0,0,6000
144,23:50-24:00,0.4271,573.176833333333,573.176833333333,0,0,0,0,0,0,6000
