slot,plan_kwh,adj_kwh,em_kwh,chg_kwh,dis_kwh,E_kwh,E0_kwh
58,0,0,46.3595833333334,0,0,1200,1200.08855555556
59,0,0,34.0806666666666,0,0,1200,1200.08855555556
60,0,0,13.9784333333332,0,0,1200,1200.08855555556
61,0,0,0,5.30041666666663,0,1204.770375,1200.08855555556
62,0,0,0,0,3.38896666666657,1201.00485648148,1200.08855555556
63,0,0,0,45.9135666666668,0,1242.32706648148,1200.08855555556
64,0,0,0,133.931666666667,0,1362.86556648148,1200.08855555556
65,0,0,0,146.78905,0,1494.97571148148,1200.08855555556
66,0,0,0,127.813066666667,0,1610.00747148148,1200.08855555556
67,0,0,0,148.185833333333,0,1743.37472148148,1200.08855555556
68,0,0,0,237.941716666667,0,1957.52226648148,1200.08855555556
69,0,0,0,316.498516666667,0,2242.37093148148,1200.08855555556
70,0,0,0,328.03625,0,2537.60355648148,1200.08855555556
71,0,0,0,295.94055,0,2803.95005148148,1200.08855555556
72,0,0,0,343.97645,0,3113.52885648148,1200.08855555556
73,0,449.439066666667,0,833.333333333333,0,3863.52885648148,1200.08855555556
74,0,464.6096,0,833.333333333333,0,4613.52885648148,1200.08855555556
75,0,511.849566666667,0,833.333333333333,0,5363.52885648148,1200.08855555556
76,609.0963,544.806016666667,0,833.333333333333,0,6113.52885648148,1200.08855555556
77,0,560.352433333333,0,833.333333333333,0,6863.52885648148,1200.08855555556
78,0,0,0,409.1788,0,7231.78977648148,1200.08855555556
79,0,0,0,287.767916666667,0,7490.78090148148,1200.08855555556
80,0,0,0,271.910916666667,0,7735.50072648148,1200.08855555556
81,16.804138888889,16.804138888889,0,295.749755555556,0,8001.67550648148,1200.08855555556
82,91.0311833333333,91.0311833333333,0,339.640766666667,0,8307.35219648148,1200.08855555556
83,0,95.6259333333333,0,301.062116666667,0,8578.30810148148,1200.08855555556
84,0,183.691766666667,0,339.746283333333,0,8884.07975648148,1200.08855555556
85,0,0,0,114.23875,0,8986.89463148148,1200.08855555556
86,0,0,0,89.8927166666667,0,9067.79807648148,1200.08855555556
87,0,0,0,30.1064666666668,0,9094.89389648148,1200.08855555556
88,0,0,0,0,63.7583333333334,9024.05130388889,1200.08855555556
89,0,371.617166666667,0,234.3317,0,9234.94983388889,1200.08855555556
90,1302.17945277778,1236.63504166667,0,833.333333333333,0,9984.94983388889,1200.08855555556
91,1343.10351666667,1279.52495,0,833.333333333333,0,10734.9498338889,1200.08855555556
92,1415.43962777778,1358.19245833333,0,72.277962345676,0,10800,1200.08855555556
93,1053.9496994513,1431.67855,0,0,0,10800,1200.08855555556
94,689.387633333333,1478.13659166667,0,0,0,10800,1200.08855555556
95,698.897494444444,1493.97785,0,0,0,10800,1200.08855555556
96,757.688105555556,926.845305555557,0,0,0,10800,1200.08855555556
97,869.49675,869.49675,0,0,0,10800,1200.08855555556
98,938.579991666667,938.579991666667,0,0,0,10800,1200.08855555556
99,965.43185,965.43185,0,0,0,10800,1200.08855555556
100,978.142541666667,978.142541666667,0,0,0,10800,1200.08855555556
101,1014.5598,1014.5598,0,0,0,10800,1200.08855555556
102,1039.63839166667,1039.63839166667,0,0,0,10800,1200.08855555556
103,1058.285,1058.285,0,0,0,10800,1200.08855555556
104,1073.54551666667,1073.54551666667,0,0,0,10800,1200.08855555556
105,1066.32251666667,1066.32251666667,0,0,0,10800,1200.08855555556
106,1061.415,1061.415,0,0,0,10800,1200.08855555556
107,1111.27233333333,1111.27233333333,0,0,0,10800,1200.08855555556
108,981.072633333333,981.072633333333,0,0,0,10800,1200.08855555556
109,752.645,752.645,0,0,3.03164900590976e-13,10800,1200.08855555556
110,764.32985,764.32985,0,0,0,10800,1200.08855555556
111,830.9645,830.9645,0,0,0,10800,1200.08855555556
112,834.416666666667,834.416666666667,0,0,0,10800,1200.08855555556
113,836.15965,836.15965,0,0,0,10800,1200.08855555556
114,0,1.51582450295488e-13,0,0,810.3647,9899.59477777778,1200.08855555556
115,0,0,0,0,777.426666666667,9035.78737037037,1200.08855555556
116,0,0,0,0,799.098883333333,8147.89972222222,1200.08855555556
117,0,0,0,0,825.595866666667,7230.57098148148,1200.08855555556
118,0,0,0,0,817.816666666667,6321.8857962963,1200.08855555556
119,0,0,0,0,786.83635,5447.62318518518,1200.08855555556
120,0,1.51582450295488e-13,0,0,784.2189,4576.26885185185,1200.08855555556
121,0,0,0,0,811.911666666667,3674.14477777778,1200.08855555556
122,267.171483333332,267.171483333332,0,0,560.006633333334,3051.91518518518,1200.08855555556
123,10.2343666666667,10.2343666666667,0,0,833.333333333333,2125.98925925926,1200.08855555556
124,6.375,6.375,0,0,833.333333333333,1200.06333333333,1200.08855555556
125,784.895283333333,784.895283333333,0,0,0,1200.06333333333,1200.08855555556
126,801.6618,801.6618,0,0,0,1200.06333333333,1200.08855555556
127,869.216666666667,869.216666666667,0,0,0,1200.06333333333,1200.08855555556
128,842.524383333333,842.524383333333,0,0,0,1200.06333333333,1200.08855555556
129,804.595183333333,804.595183333333,0,0,0,1200.06333333333,1200.08855555556
130,813.381666666667,813.381666666667,0,0,0,1200.06333333333,1200.08855555556
131,829.869133333333,829.869133333333,0,0,0,1200.06333333333,1200.08855555556
132,1601.51983333333,768.1865,0,0,0,1200.06333333333,1200.08855555556
133,1472.57666666667,639.243333333333,0,0,0,1200.06333333333,1200.08855555556
134,553.441566666667,553.441566666667,0,0,0,1200.06333333333,1200.08855555556
135,1416.0119,582.678566666667,0,0,0,1200.06333333333,1200.08855555556
136,1480.54,647.206666666667,0,0,0,1200.06333333333,1200.08855555556
137,1430.03318333333,596.69985,0,0,0,1200.06333333333,1200.08855555556
138,1388.68561666667,555.352283333333,0,0,0,1200.06333333333,1200.08855555556
139,1236.01666666667,569.35,0,0,0,1200.06333333333,1200.08855555556
140,1397.9892,564.655866666667,0,0,0,1200.06333333333,1200.08855555556
141,1409.8349,576.501566666667,0,0,0,1200.06333333333,1200.08855555556
142,1443.65833333333,610.325,0,0,0,1200.06333333333,1200.08855555556
143,617.0673,617.0673,0,0,0,1200.06333333333,1200.08855555556
144,568.298083333333,568.298083333333,0,0,0,1200.06333333333,1200.08855555556
