slot,plan_kwh,adj_kwh,em_kwh,chg_kwh,dis_kwh,E_kwh,E0_kwh
35,679.629683333333,679.629683333333,0,0,0,10800,1200.00637037037
36,338.685563888888,338.685563888888,0,0,447.600202777779,10302.666441358,1200.00637037037
37,81.7749999999999,81.7749999999999,0,0,833.333333333333,9376.7405154321,1200.00637037037
38,862.830988888889,862.830988888889,0,0,43.6485777777778,9328.24209567901,1200.00637037037
39,813.861394444444,43.6174646388887,24.3546186944447,0,833.333333333333,8402.31616975309,1200.00637037037
40,800.008966666667,800.008966666667,0,0,131.166033333333,8256.57613271605,1200.00637037037
41,716.993055555556,716.993055555556,0,0,173.865277777778,8063.39249074074,1200.00637037037
42,653.598111111111,653.598111111111,0,0,218.610055555556,7820.49242901235,1200.00637037037
43,633.367933333333,633.367933333333,0,0,262.332066666667,7529.01235493827,1200.00637037037
44,585.366319444444,581.529091666667,0,0,283.154441666667,7214.39630864198,1200.00637037037
45,533.021605555555,524.364466666667,0,0,292.514533333333,6889.38016049383,1200.00637037037
46,1305.65770833333,1292.18065833333,0,535.339825,0,7371.18600299383,1200.00637037037
47,398.919527777778,380.622566666667,0,0,297.5686,7040.55422521605,1200.00637037037
48,0,0,0,0,768.73535,6186.40383632716,1200.00637037037
49,0,0,106.82125,0,833.333333333333,5260.47791040124,1200.00637037037
50,0,0,65.6994833333333,0,833.333333333333,4334.55198447531,1200.00637037037
51,0,1.51582450295488e-13,0,0,823.545816666666,3419.5010770679,1200.00637037037
52,0,0,0,0,797.8975,2532.94829929012,1200.00637037037
53,0,0,0,0,729.992316666667,1721.84572521605,1200.00637037037
54,0,0,210.414980638888,0,469.661152694445,1200,1200.00637037037
55,0,0,652.34375,0,0,1200,1200.00637037037
56,0,0,584.00365,0,0,1200,1200.00637037037
57,0,0,527.685366666667,0,0,1200,1200.00637037037
58,0,0,505.665,0,0,1200,1200.00637037037
59,0,0,481.458866666667,0,0,1200,1200.00637037037
60,0,0,426.60045,0,0,1200,1200.00637037037
61,0,0,360.307083333333,0,0,1200,1200.00637037037
62,0,0,331.193616666667,0,0,1200,1200.00637037037
63,0,0,326.093433333333,0,0,1200,1200.00637037037
64,0,0,331.784583333333,0,0,1200,1200.00637037037
65,269.245688888889,172.979733333333,176.099766666667,0,0,1200,1200.00637037037
66,1113.45450277778,997.542433333333,0,626.481683333333,0,1763.833515,1200.00637037037
67,1110.49116666667,974.932983333333,0,593.6984,0,2298.162075,1200.00637037037
68,1075.99378055556,963.893575,0,601.795941666666,0,2839.7784225,1200.00637037037
69,1050.50782777778,961.8656,0,639.61445,0,3415.4314275,1200.00637037037
70,1047.94214166667,982.757891666667,0,699.787475,0,4045.240155,1200.00637037037
71,1028.76978888889,987.043516666667,0,735.034783333333,0,4706.77146,1200.00637037037
72,976.256186111111,957.987891666667,0,793.280475,0,5420.7238875,1200.00637037037
73,933.593116666667,1000.918,0,833.333333333333,0,6170.7238875,1200.00637037037
74,984.743113888889,1046.12219444444,0,833.333333333333,0,6920.7238875,1200.00637037037
75,1010.47784444444,1065.91112222222,0,833.333333333333,0,7670.7238875,1200.00637037037
76,991.963275,1041.45075,0,833.333333333333,0,8420.7238875,1200.00637037037
77,1008.19388888889,1051.73556111111,0,833.333333333333,0,9170.7238875,1200.00637037037
78,243.851102777778,281.446972222222,0,120.964872222222,0,9279.5922725,1200.00637037037
79,320.453433333333,352.1035,0,111.103083333333,0,9379.5850475,1200.00637037037
80,357.544997222222,397.691475,0,133.378991666667,0,9499.62614,1200.00637037037
81,360.662627777778,409.305516666667,0,183.91935,0,9665.153555,1200.00637037037
82,370.220825,427.360125,0,250.338458333333,0,9890.4581675,1200.00637037037
83,411.051288888889,476.687,0,284.1773,0,10146.2177375,1200.00637037037
84,0,559.132275,0,305.508158333333,0,10421.17508,1200.00637037037
85,0,0,0,0,301.882916666667,10085.749617037,1200.00637037037
86,0,57.0494512500021,0,0,237.847132083331,9821.47502583334,1200.00637037037
87,0,0,0,0,317.71575,9468.45752583334,1200.00637037037
88,0,0,0,0,384.197083333333,9041.57187768519,1200.00637037037
89,179.161641666666,731.956955555555,0,301.572622222222,0,9312.98723768519,1200.00637037037
90,1583.52053611111,1611.32594444444,0,833.333333333333,0,10062.9872376852,1200.00637037037
91,1642.96273333333,1659.80351666667,0,818.903069238683,0,10800,1200.00637037037
92,1662.51752777778,1676.55151388889,0,0,0,10800,1200.00637037037
93,1713.67865555556,1724.90584444444,0,0,0,10800,1200.00637037037
94,1781.24386666667,1789.66425833333,0,0,0,10800,1200.00637037037
95,957.591827777778,1796.53875555556,0,0,0,10800,1200.00637037037
96,983.047088888889,985.853886111111,0,0,0,10800,1200.00637037037
97,1031.73666666667,1031.73666666667,0,0,0,10800,1200.00637037037
98,1001.224,1001.224,0,0,0,10800,1200.00637037037
99,1003.63836666667,1003.63836666667,0,0,0,10800,1200.00637037037
100,1038.54666666667,1038.54666666667,0,0,0,10800,1200.00637037037
101,1029.63136666667,1029.63136666667,0,0,0,10800,1200.00637037037
102,1021.83293333333,1021.83293333333,0,0,0,10800,1200.00637037037
103,1028.79666666667,1028.79666666667,0,0,0,10800,1200.00637037037
104,1018.6957,1018.6957,0,0,0,10800,1200.00637037037
105,1026.78378333333,1026.78378333333,0,0,0,10800,1200.00637037037
106,1056.46166666667,1056.46166666667,0,0,0,10800,1200.00637037037
107,1048.34913333333,1048.34913333333,0,0,0,10800,1200.00637037037
108,898.817633333333,898.817633333333,0,0,0,10800,1200.00637037037
109,712.633333333333,712.633333333333,0,0,1.51582450295488e-13,10800,1200.00637037037
110,715.41445,715.41445,0,0,0,10800,1200.00637037037
111,748.273266666667,748.273266666667,0,0,0,10800,1200.00637037037
112,730.008333333333,730.008333333333,0,0,0,10800,1200.00637037037
113,138.439599999998,138.439599999998,0,0,595.904783333335,10137.8835740741,1200.00637037037
114,0,0,0,0,750.083216666667,9304.45777777778,1200.00637037037
115,0,0,0,0,748.46,8472.83555555555,1200.00637037037
116,0,0,0,0,722.483233333333,7670.0764074074,1200.00637037037
117,0,0,0,0,726.165516666667,6863.22583333333,1200.00637037037
118,0,0,0,0,744.431666666667,6036.07953703704,1200.00637037037
119,0,1.51582450295488e-13,0,0,716.9287,5239.49209259259,1200.00637037037
120,0,0,0,0,733.1195,4424.91487037037,1200.00637037037
121,0,0,0,0,780.268333333333,3557.95005555555,1200.00637037037
122,0,0,0,0,747.5859,2727.29905555555,1200.00637037037
123,0,0,0,0,692.8171,1957.50227777778,1200.00637037037
124,0,0,0,0,681.751666666667,1200.00042592592,1200.00637037037
125,720.3711,720.3711,0,0,0,1200.00042592592,1200.00637037037
126,722.800166666667,722.800166666667,0,0,0,1200.00042592592,1200.00637037037
127,690.743333333333,690.743333333333,0,0,0,1200.00042592592,1200.00637037037
128,704.5435,704.5435,0,0,0,1200.00042592592,1200.00637037037
129,721.160716666667,721.160716666667,0,0,0,1200.00042592592,1200.00637037037
130,726.305,726.305,0,0,0,1200.00042592592,1200.00637037037
131,739.519033333333,739.519033333333,0,0,0,1200.00042592592,1200.00637037037
132,1511.83256666667,678.499233333333,0,0,0,1200.00042592592,1200.00637037037
133,1405.73333333333,572.4,0,0,0,1200.00042592592,1200.00637037037
134,545.092316666667,545.092316666667,0,0,0,1200.00042592592,1200.00637037037
135,1384.16946666667,550.836133333333,0,0,0,1200.00042592592,1200.00637037037
136,1375.93333333333,542.6,0,0,0,1200.00042592592,1200.00637037037
137,1359.25233333333,525.919,0,0,0,1200.00042592592,1200.00637037037
138,1376.72725,543.393916666667,0,0,0,1200.00042592592,1200.00637037037
139,1251.495,584.828333333333,0,0,0,1200.00042592592,1200.00637037037
140,1425.7859,592.452566666667,0,0,0,1200.00042592592,1200.00637037037
141,1399.27713333333,565.9438,0,0,0,1200.00042592592,1200.00637037037
142,1384.265,550.931666666667,0,0,0,1200.00042592592,1200.00637037037
143,589.960216666667,589.960216666667,0,0,0,1200.00042592592,1200.00637037037
144,595.331833333333,595.331833333333,0,0,0,1200.00042592592,1200.00637037037
