date,E_ideal,E_nocorr,E_corr
2025-03-06,5514.39127777778,7782.82125,7719.01699986111
2025-03-07,5603.38868518519,7343.8019212963,7360.28716287037
2025-03-08,8550,8550,8594.1573913426
2025-03-09,8550,8550,8518.62948842593
2025-03-10,8550,8550,8535.21168
2025-03-11,8550,8550,8590.53624305556
2025-03-12,8550,8550,8508.23798384259
2025-03-13,5139.22994444444,6987.46738425926,6872.74212953704
2025-03-14,5279.48753703704,6644.49885648148,6712.85611666666
2025-03-15,8550,8550,8363.72190972222
2025-03-16,8550,8550,8647.67503763889
2025-03-17,8550,8550,8691.071475
2025-03-18,8550,8550,8545.55915481482
2025-03-19,8550,8550,8743.10675925926
2025-03-20,4869.22924074074,6227.514,6208.77350027778
2025-03-21,4653.70053703704,6026.19053240741,5927.82052166667
2025-03-22,8550,8550,8810.82177287037
2025-03-23,8550,8550,8538.07114324074
2025-03-24,8550,8550,8574.73215916666
2025-03-25,8550,8550,8464.63050347222
2025-03-26,8550,8550,8458.05537759259
2025-03-27,4691.75531481481,5561.25474074074,5438.38529972222
2025-03-28,4212.39872222222,5406.07046759259,5431.75467916667
2025-03-29,8550,8550,8675.35758115741
2025-03-30,8550,8550,8546.51067138889
2025-03-31,8550,8550,8738.12682412037
2025-04-01,8550,8550,8562.95188699074
2025-04-02,8550,8550,8480.64539703704
2025-04-03,4096.87651851852,5032.57140277778,4927.55689842593
2025-04-04,3768.22674074074,4918.39387037037,5139.69915476852
2025-04-05,8550,8550,8565.39745930555
2025-04-06,8550,8550,8536.59152648148
2025-04-07,8550,8550,8636.21466578704
2025-04-08,8550,8550,8406.62187106482
2025-04-09,8550,8550,8454.57011796296
2025-04-10,3735.8082962963,4663.27625,4784.1218550926
2025-04-11,3169.07535185185,4453.64075925926,4509.7150887037
2025-04-12,8550,8550,8822.92225532408
2025-04-13,8550,8550,8547.45703509259
2025-04-14,8218.13251592592,8550,8494.63015259259
2025-04-15,8550,8550,8534.23666421296
2025-04-16,8550,8550,8417.5261162963
2025-04-17,3210.74266666667,4288.60265740741,4378.98161796296
2025-04-18,3239.88648148148,3917.89912962963,4493.53279523148
2025-04-19,8550,8550,8859.22588055555
2025-04-20,7950,8550,8816.04864986111
2025-04-21,8550,8550,8428.48688592593
2025-04-22,8550,8550,8570.40660967593
2025-04-23,7950,8550,8658.88859435185
2025-04-24,2758.78255555556,3862.29802777778,3953.33917875
2025-04-25,2649.2722037037,3578.00908333333,3709.46207847222
2025-04-26,7950,8550,8719.49796268519
2025-04-27,8550,8550,8589.56194486111
2025-04-28,7548.24488888889,8550,8545.873085
2025-04-29,7950,8550,8652.17242791667
2025-04-30,7950,8550,8516.40244675926
2025-05-01,3145.98059259259,3420.4889212963,2601.57935425926
2025-05-02,2826.02768518518,3190.38876388889,2579.48631972222
2025-05-03,7950,8550,8107.74062736111
2025-05-04,8550,8550,7890.24020143519
2025-05-05,8550,8550,7990.14919444444
2025-05-06,8550,8550,7781.98400342592
2025-05-07,8550,8550,8012.88341675926
2025-05-08,2931.22168518518,3197.54919907407,2713.6391387963
2025-05-09,2713.49193518519,2954.839,2905.24684282407
2025-05-10,8550,8550,8067.82610925926
2025-05-11,7950,8550,8082.20196925926
2025-05-12,8550,8214.6012075,7934.17513486112
2025-05-13,8550,8550,8352.45975986111
2025-05-14,8550,8550,8104.26487523148
2025-05-15,2109.83911111111,2988.28391203704,2781.8756750463
2025-05-16,2094.50292592593,2835.08739351852,2320.44440259259
2025-05-17,8550,8550,8173.78527722222
2025-05-18,7631.75533333333,8550,8269.22327578704
2025-05-19,8550,8550,8350.18557532407
2025-05-20,7950,8550,8139.17910449074
2025-05-21,7950,8550,8144.47952759259
2025-05-22,2171.94853703704,2704.34653240741,2828.21058869742
2025-05-23,2030.39262962963,2533.45614351852,2466.15644689815
2025-05-24,7247.42764759259,8550,8425.25415509259
2025-05-25,8550,8550,8449.77959625
2025-05-26,7950,8550,8414.17056375
2025-05-27,8550,8550,8335.96348328704
2025-05-28,8550,8550,8498.58558657407
2025-05-29,2340.34535185185,2550.76113425926,2765.03934078704
2025-05-30,2379.38511111111,2362.33249074074,2522.10088421296
2025-05-31,8550,8550,8813.74787217593
2025-06-01,8550,8550,7383.44554944444
2025-06-02,8550,8550,7286.87322939815
2025-06-03,8550,8550,7484.40915759259
2025-06-04,8550,8550,7455.11697259259
2025-06-05,3131.32662962963,2360.45326851852,1200
2025-06-06,3158.96622222222,2265.13047222222,1200
2025-06-07,8550,8550,7490.86818861111
2025-06-08,8550,8550,7576.09412939815
2025-06-09,8550,8550,7678.01319337963
2025-06-10,8550,8550,7579.24105319444
2025-06-11,8550,8550,7726.49761277778
2025-06-12,3144.85307407407,2398.3294537037,1570.36783796296
2025-06-13,2777.06883333333,2322.71005092593,1618.88930555556
2025-06-14,8550,8550,7547.92649324074
2025-06-15,8550,8550,7942.30135736111
2025-06-16,8550,8550,8217.52005537037
2025-06-17,8550,8550,7951.33122481482
2025-06-18,8550,8550,8068.42784805555
2025-06-19,2451.43781481481,2624.53772222222,2333.98468537037
2025-06-20,2760.59107407407,2509.48618518519,1926.33131083333
2025-06-21,8550,8550,8069.91224416667
2025-06-22,8550,8550,8318.77911018519
2025-06-23,8550,8550,8307.01502787037
2025-06-24,8550,8550,8381.89779847222
2025-06-25,8550,8550,8202.90833393518
2025-06-26,2688.38937037037,2708.6753287037,2394.92706012803
2025-06-27,2661.71061111111,2741.55453240741,2573.27924583333
2025-06-28,8550,8550,8314.71899986111
2025-06-29,8550,8550,8741.99069296296
2025-06-30,8550,8550,8753.44803388889
2025-07-01,8550,8550,7335.71296787037
2025-07-02,8550,8550,7270.25179865741
2025-07-03,3261.75638888889,2817.49756944444,1478.66074622771
2025-07-04,3361.04190740741,2814.68881481481,1365.62430611111
2025-07-05,8550,8550,7246.60771134259
2025-07-06,8550,8550,7259.94452814815
2025-07-07,8550,8550,7120.72737402778
2025-07-08,8550,8550,7658.04519935185
2025-07-09,8550,8550,7731.81771916667
2025-07-10,3728.6792962963,2853.46185648148,1746.18989847222
2025-07-11,3364.8645,2873.92299074074,1845.69850097222
2025-07-12,8550,8550,7488.92689708333
2025-07-13,8550,8550,7599.73869273148
2025-07-14,8550,8550,7643.64197490741
2025-07-15,8550,8550,8187.04858611111
2025-07-16,8550,8550,7858.0975212963
2025-07-17,3113.56294444444,3005.18406018519,2172.12936708333
2025-07-18,2570.80646296296,3011.79918981481,2219.37763851852
2025-07-19,8550,8550,7957.14876175926
2025-07-20,8550,8550,7976.36815902778
2025-07-21,8550,8550,8124.83068412037
2025-07-22,8550,8550,8245.36947777778
2025-07-23,8550,8550,8327.66765796296
2025-07-24,2989.5421812963,3179.44546296296,3095.66490449074
2025-07-25,3241.24996296296,2938.01780092593,2809.27608796296
2025-07-26,8550,8550,8447.8058325
2025-07-27,8550,8550,8339.10733875
2025-07-28,8550,8550,8298.47132833333
2025-07-29,8550,8550,8797.5503775
2025-07-30,8550,8550,8692.51634046296
2025-07-31,2557.06244444444,3226.82264351852,3656.38316037037
2025-08-01,2851.25975925926,3082.32939351852,3593.41173277778
2025-08-02,7950,8550,8873.77828736111
2025-08-03,8550,8550,8539.94590356482
2025-08-04,8550,8550,9042.58485601852
2025-08-05,8550,8550,8887.80207930555
2025-08-06,7950,8550,8687.2113774537
2025-08-07,3309.40346296296,3053.66559259259,3479.98001402778
2025-08-08,3255.87566666667,2973.03293055556,3591.8949662963
2025-08-09,8550,8550,8942.53086375
2025-08-10,8550,8550,8645.11481865741
2025-08-11,8550,8550,8751.25347268519
2025-08-12,8550,8550,8674.63548638889
2025-08-13,8550,8550,8863.63313199074
2025-08-14,3516.70896296296,2957.80138888889,3192.43867842593
2025-08-15,3191.3792962963,2968.46781481481,3328.51673680555
2025-08-16,7971.38690277778,8550,8781.5227837037
2025-08-17,8550,8550,8723.58275592593
2025-08-18,8494.92041981481,8550,8734.81631592593
2025-08-19,8550,8550,8586.70198361111
2025-08-20,8550,8550,8648.9163975
2025-08-21,3348.47438888889,3069.65759259259,3302.91315425926
2025-08-22,3285.45448148148,3128.42531018519,3191.23043796296
2025-08-23,8372.23472222222,8550,8492.88475398148
2025-08-24,8550,8550,8612.52333375
2025-08-25,8550,8550,8748.4824375
2025-08-26,8550,8550,8627.24634842593
2025-08-27,8550,8550,8724.73544152778
2025-08-28,4431.646,3181.58546296296,3347.80827222222
2025-08-29,3231.16174074074,3145.99230092593,3251.89895810185
2025-08-30,8550,8218.06299657407,8105.67485319444
2025-08-31,8280.2161674074,8550,8885.5480125
2025-09-01,8550,8550,10800
2025-09-02,8212.72488703704,8550,10800
2025-09-03,8138.92725925926,8550,10800
2025-09-04,3546.05972222222,3615.86243981481,7405.71672712963
2025-09-05,3841.73981481481,3240.9677962963,7355.01930324074
2025-09-06,8550,8550,10800
2025-09-07,8550,8550,10800
2025-09-08,7950,8550,9525.7740825
2025-09-09,8550,8550,10800
2025-09-10,8550,8550,9563.59587
2025-09-11,4249.05216666667,3661.8143287037,6780.59733444445
2025-09-12,4168.15842592593,3377.40787962963,6615.30078888889
2025-09-13,8550,8550,10800
2025-09-14,8550,8550,9550.6103475
2025-09-15,8550,8550,10166.3146955556
2025-09-16,8550,8550,9175.9857375
2025-09-17,8550,8550,10127.4735623148
2025-09-18,4423.03898148148,3812.24256018518,4811.03948525149
2025-09-19,4746.59611111111,3610.80613425926,5700.10901319444
2025-09-20,8550,8550,10201.5700860185
2025-09-21,8550,8550,9240.26591393519
2025-09-22,8550,8550,8810.49613347222
2025-09-23,8550,8550,8835.26791814815
2025-09-24,8550,8550,9316.16017972222
2025-09-25,4729.68766666667,4084.57183796296,4360.29723694445
2025-09-26,5059.47285185185,3945.8168287037,5039.05628564815
2025-09-27,8550,8550,8960.37469425926
2025-09-28,8550,8550,8915.8776775463
2025-09-29,8550,8550,8619.84074606481
2025-09-30,8550,8550,8576.86072537037
2025-10-01,8550,8550,10297.2740278241
2025-10-02,4799.81242592593,4157.44690277778,6319.57672722222
2025-10-03,5357.08675925926,4436.41385185185,6610.38510847223
2025-10-04,8550,8550,10414.6982735648
2025-10-05,8550,8550,10159.3512198148
2025-10-06,8550,8550,9985.92563791667
2025-10-07,8550,8550,10334.4753628241
2025-10-08,8550,8550,9845.78362435185
2025-10-09,5396.98222222222,4545.87996759259,5513.84350611111
2025-10-10,5574.51483333333,4815.25058796296,5762.88761328703
2025-10-11,8550,8550,9670.90672912037
2025-10-12,8550,8550,9533.90081824074
2025-10-13,8550,8550,9622.80755199074
2025-10-14,8550,8550,9438.00743208333
2025-10-15,8550,8550,8868.44611875
2025-10-16,5549.82455555556,4832.86248148148,5448.22062148148
2025-10-17,5527.385,5174.23785648148,5418.23145412038
2025-10-18,8550,8550,9242.6854112037
2025-10-19,8550,8550,8850.85488203704
2025-10-20,8550,8550,8803.29680407407
2025-10-21,8550,8550,8816.58556125
2025-10-22,8550,8550,8612.72449865741
2025-10-23,6419.26737037037,5107.60495833333,5493.82794893518
2025-10-24,5954.22994444445,5361.79920833333,5460.91164893519
2025-10-25,8550,8550,8632.05433125
2025-10-26,8550,8550,8750.33029611111
2025-10-27,8550,8550,8689.53715875
2025-10-28,8550,8550,8722.22586375
2025-10-29,8550,8550,8515.96520333334
2025-10-30,6581.09237037037,5493.14651851852,5383.46373476852
2025-10-31,6459.89187037037,5583.90472222222,5657.37469138889
2025-11-01,8550,8550,8485.45517152778
2025-11-02,8550,8550,8570.04091115741
2025-11-03,8550,8550,8474.18861726852
2025-11-04,8550,8550,8555.33836421296
2025-11-05,8550,8550,8490.79639606482
2025-11-06,7478.54811111111,5938.37991666667,5761.72902430555
2025-11-07,6812.88542592593,5862.49844907407,5947.42103712963
2025-11-08,8550,8550,8559.51682689815
2025-11-09,8550,8550,8572.09525134259
2025-11-10,8550,8550,8497.64199787037
2025-11-11,8550,8550,8511.26029481481
2025-11-12,8550,8550,8624.18372458333
2025-11-13,7114.39448148148,6430.78950925926,6444.51628657407
2025-11-14,7481.51242592593,6171.79422222222,6294.5233975
2025-11-15,8550,8550,8566.61473125
2025-11-16,8550,8550,8514.78246625
2025-11-17,8550,8550,8589.93327629629
2025-11-18,8550,8550,8442.89241791667
2025-11-19,8550,8550,8471.30275342593
2025-11-20,7658.44259259259,6866.9337037037,6831.47596976852
2025-11-21,7891.11144055555,6642.82548611111,6577.25338856482
2025-11-22,8550,8550,8506.073025
2025-11-23,8550,8550,8553.05925467593
2025-11-24,8550,8550,8396.14943115741
2025-11-25,8550,8550,8422.70614523148
2025-11-26,8550,8550,8550.81466106481
2025-11-27,7950,7194.14473611111,7291.04257032408
2025-11-28,8470.42241574074,7112.11683796296,7170.84922462963
2025-11-29,8550,8550,8358.3891125463
2025-11-30,8550,8550,8435.25362240741
2025-12-01,8550,8550,8394.94411518519
2025-12-02,8550,8550,8371.18929416667
2025-12-03,8550,8550,8306.77558310185
2025-12-04,8550,7573.46684722222,7401.35700393518
2025-12-05,8550,7519.71033333333,7235.37915513889
2025-12-06,8550,8550,8328.596145
2025-12-07,8550,8550,8299.12278013889
2025-12-08,8550,8550,8495.36796523148
2025-12-09,8550,8550,8511.63700893518
2025-12-10,8550,8550,8346.25328314815
2025-12-11,8550,7950,7740.76975574074
2025-12-12,8550,7950,7804.67630430556
2025-12-13,8550,8550,8469.99192018518
2025-12-14,8550,8550,8463.23591097222
2025-12-15,8550,8550,8511.33810800926
2025-12-16,8550,8550,8438.23495476852
2025-12-17,8550,8550,8440.71450175926
2025-12-18,8550,8550,8467.70685995371
2025-12-19,8550,8550,8357.34187125
2025-12-20,8550,8550,8397.63292023148
2025-12-21,8550,8550,8521.83561666667
2025-12-22,8550,8550,8512.68342865741
2025-12-23,8550,8550,8593.57173032407
2025-12-24,8550,8550,8512.74748768519
2025-12-25,8550,8550,8491.42025972222
2025-12-26,8550,8550,8516.13925347222
2025-12-27,8550,8550,8640.17544171296
2025-12-28,8550,8550,8585.85648375
2025-12-29,8550,8550,8503.776465
2025-12-30,8550,8550,8608.38119666666
2025-12-31,1200,1200,1307.09601194444
