slot,period,price,buy_kwh
80,13:10-13:20,0.8636,0
81,13:20-13:30,0.8416,0
82,13:30-13:40,0.8618,0
83,13:40-13:50,0.8623,0
84,13:50-14:00,0.9026,0
85,14:00-14:10,0.9754,0
86,14:10-14:20,1.0002,0
87,14:20-14:30,0.9978,0
88,14:30-14:40,1.0271,0
89,14:40-14:50,1.0906,0
90,14:50-15:00,0.9376,0
91,15:00-15:10,0.6694,112.089866666667
92,15:10-15:20,0.66,266.732693621399
93,15:20-15:30,0.7217,197.523516666667
94,15:30-15:40,0.7308,244.814033333333
95,15:40-15:50,0.7534,295.534616666667
96,15:50-16:00,0.7823,345.7775
97,16:00-16:10,0.8055,394.931483333333
98,16:10-16:20,0.8271,445.43165
99,16:20-16:30,0.8519,495.696583333333
100,16:30-16:40,0.8791,547.11905
101,16:40-16:50,0.9024,599.985433333333
102,16:50-17:00,0.9163,635.42975
103,17:00-17:10,0.9264,660.830683333333
104,17:10-17:20,0.9462,702.036933333333
105,17:20-17:30,0.9742,738.065783333333
106,17:30-17:40,0.9862,775.944716666667
107,17:40-17:50,0.976,826.08325
108,17:50-18:00,1.0742,762.4228
109,18:00-18:10,1.2313,636.982616666667
110,18:10-18:20,1.2561,531.89405
111,18:20-18:30,1.2447,678.830533333333
112,18:30-18:40,1.2545,686.2685
113,18:40-18:50,1.2522,696.504383333333
114,18:50-19:00,1.2881,0
115,19:00-19:10,1.3466,0
116,19:10-19:20,1.3523,0
117,19:20-19:30,1.3445,0
118,19:30-19:40,1.3483,0
119,19:40-19:50,1.349,0
120,19:50-20:00,1.3473,0
121,20:00-20:10,1.3482,0
122,20:10-20:20,1.3513,0
123,20:20-20:30,1.34,0
124,20:30-20:40,1.3489,0
125,20:40-20:50,1.3952,0
126,20:50-21:00,1.2226,715.868916666667
127,21:00-21:10,0.9332,717.005116666667
128,21:10-21:20,0.9068,720.1603
129,21:20-21:30,0.9371,717.054866666667
130,21:30-21:40,0.9371,720.445966666667
131,21:40-21:50,0.9871,738.134716666667
132,21:50-22:00,0.7764,671.693566666667
133,22:00-22:10,0.4209,1393.79031666667
134,22:10-22:20,0.3859,1384.8989
135,22:20-22:30,0.4368,568.82605
136,22:30-22:40,0.4198,1396.98855
137,22:40-22:50,0.4186,1397.75986666667
138,22:50-23:00,0.4241,566.747433333333
139,23:00-23:10,0.4237,1399.87376666667
140,23:10-23:20,0.4248,567.83015
141,23:20-23:30,0.424,902.691966666667
142,23:30-23:40,0.422,1403.66351666667
143,23:40-23:50,0.424,571.615383333333
144,23:50-24:00,0.4271,573.176833333333
