doy,up_kwh,down_kwh,net_kwh,adj_cost_yuan
78,8095.5609163738,8166.66666666667,-71.1057502928452,8840.39825872088
79,4542.36655936214,6326.53409722222,-1784.16753786006,5738.70701172954
80,434.741,5673.81290823045,-5239.07190823044,1832.40811860416
81,437.8275,8624.88951512346,-8187.06201512345,2487.07764960102
82,1357.57255291667,9397.32550761317,-8039.75295469648,3454.45185355039
83,4968.95315034294,8875.97558333333,-3907.0224329904,7159.05400745771
84,3321.56308679698,14397.0309669753,-11075.4678801783,6938.12329790287
85,1800.18354855967,8658.06671666667,-6857.88316810702,3123.21174395532
86,3984.82508319616,5785.24047860082,-1800.41539540463,5341.15127844483
87,428.220083333334,4897.85811762689,-4469.63803429355,1653.26144977612
88,629.422238888889,8312.9233,-7683.50106111111,2573.27768663125
89,1929.61648134431,9670.11858004115,-7740.50209869682,4046.21958338926
90,7325.77677995678,8188.80943333333,-863.032653376547,7679.82533909915
91,5374.79155034293,11483.1611515775,-6108.36960123459,8442.88424161336
92,3649.46483062415,8191.3228,-4541.85796937588,5146.91011458424
93,2061.01036628944,5478.7938340535,-3417.78346776406,3121.44905474882
94,218.594880027781,4354.0915531893,-4135.49667316151,1256.62588923324
95,256.581843361108,8367.08006666667,-8110.49822330555,2141.69302802471
96,4731.29866937757,8511.87530404664,-3780.57663466908,6583.17594035588
97,5579.87690106619,8166.66666666667,-2586.78976560049,6405.80662714646
98,2105.17035672155,8556.23098333333,-6451.0606266118,3521.90148507227
99,6447.90993333334,8434.73444166667,-1986.82450833335,7595.03285875789
100,2892.92487812071,4090.00192098766,-1197.07704286693,2876.10997169244
101,241.252183333334,3839.06979917695,-3597.81761584362,1178.4089785405
102,52.0840833333337,8945.09546388889,-8893.01138055556,2113.664064405
103,5512.33948473937,8166.66666666667,-2654.3271819273,6809.77647280313
104,767.287552674897,8788.3329,-8021.04534732511,2416.74538236988
105,5435.79778596434,8166.66666666667,-2730.86888070233,6713.36607286694
106,7453.48553148148,8166.66666666667,-713.181135185208,9089.1707854486
107,6771.65624840911,3484.62019711934,3287.03605128976,6486.22445849603
108,82.0978784444452,3340.87328014403,-3258.77540169959,888.45191741083
109,657.579494444445,8462.43895833333,-7804.85946388889,2694.17131613667
110,5118.4908275535,8166.66666666667,-3048.17583911317,6096.66006255033
111,1417.61537575446,8501.1929,-7083.57752424554,2890.34681859857
112,6528.45064524314,8166.66666666667,-1638.21602142353,7212.24554467191
113,7615.03072026749,8166.66666666667,-551.635946399198,8703.83387190344
114,4814.47678864095,2958.10891975309,1856.36786888787,5203.21743550643
115,2.27373675443232e-13,3558.50585648148,-3558.50585648148,957.152227652084
116,193.839737,8488.18141666666,-8294.34167966666,2104.57557773965
117,5482.85906958161,8167.96460277778,-2685.10553319616,7133.29886900856
118,7431.62334385665,8358.41568055555,-926.792336698927,8284.65814981538
119,4326.852053738,8308.82298333333,-3981.97092959532,6195.25821140429
120,4348.36502133059,8166.66666666667,-3818.30164533608,5747.62424838231
121,4888.11389036351,2467.20991255144,2420.90397781206,5429.36694926678
122,112.431533333334,2544.28145987654,-2431.84992654321,775.481932619614
123,94.1797861111113,8341.12787777778,-8246.94809166666,1939.45529931097
124,1869.44520884774,8304.395725,-6434.95051615226,3030.41564449218
125,2849.22421907613,8171.63956378601,-5322.41534470988,3732.1015349873
126,6458.81556198285,8166.66666666667,-1707.85110468382,8085.81659572207
127,7157.04600260391,8204.10983333333,-1047.06383072946,8470.97849418624
128,6404.2613638546,2242.11225174897,4162.14911210563,6703.22012598663
129,439.520100000001,2120.02665555556,-1680.50655555556,1098.73562826445
130,488.925393888887,8348.872325,-7859.94693111111,2437.05117895925
131,6794.02909980007,8172.7701,-1378.74100019993,8340.5792124089
132,7470.99751323731,7794.00134166667,-323.003828429362,8045.50770853364
133,6676.57554866255,8166.66666666667,-1490.09111800413,8129.06206187924
134,3766.59427520576,8856.35180394376,-5089.75752873802,4622.51006152686
135,5076.7526907524,2065.00548004115,3011.74721071124,4951.73008338125
136,9.09494701772928e-13,2501.83618168724,-2501.83618168724,709.326872136571
137,15.3466666666668,8423.35104166667,-8408.004375,1870.16811078806
138,3962.25376196845,8225.32761666667,-4263.07385469821,5097.57083001023
139,3918.63597525617,8166.66666666667,-4248.03069141052,5141.67413028373
140,7655.0412270847,8166.66666666667,-511.625439581949,7837.86943666782
141,7250.250296262,8166.66666666667,-916.416370404688,8134.826006769
142,5320.00376728395,1671.49614711934,3648.50762016462,5134.18403280185
143,750.561091666668,1698.44275390946,-947.881662242802,1382.48274585325
144,5.30538576034208e-13,8776.86013888889,-8776.86013888889,2024.95283540125
145,3283.83563858025,8235.5495,-4951.71386141976,4334.30813673922
146,9750.94412167352,8166.66666666667,1584.27745500685,10361.1442411322
147,6698.019085631,8166.66666666667,-1468.64758103569,7370.6230026004
148,5824.17398636763,8166.66666666667,-2342.49268029903,6864.69403225449
149,6162.59779986282,1500.84570473251,4661.75209513032,4745.98576785804
150,274.047625,1463.8705313786,-1189.82290637859,699.500035422542
151,20.972416666667,9375.9137,-9354.94128333333,2285.44334315778
152,1932.11291234568,9410.1714218107,-7478.05850946502,3444.39608318382
153,2223.48836577504,11788.1951224623,-9564.70675668723,5007.21587978398
154,4721.25362726338,8457.75360555555,-3736.49997829218,5856.99923403272
155,2953.24037726337,15477.8102519547,-12524.5698746914,6859.90168273349
156,6673.21494687929,1296.17360668724,5377.04134019207,7052.26224345678
157,56.8774166666667,2092.3381260631,-2035.46070939642,680.213711796965
158,1124.93063048697,8261.61809166667,-7136.68746117974,2806.29065322867
159,6817.89495805899,8822.13027222222,-2004.23531416328,9107.63291162675
160,4211.2111989369,10769.5145123457,-6558.30331340876,7216.83241505987
161,8041.19254739437,8179.736925,-138.544377605664,9987.84363908461
162,5310.38756340878,8633.20130833333,-3322.81374492454,6195.67482009604
163,5340.70702184499,1398.38202633745,3942.3249955075,5489.76148216659
164,296.901300000001,1387.05090809328,-1090.14960809327,711.558656884106
165,124.104552777779,8914.35060833333,-8790.24605555556,2186.61929098417
166,9554.09905620782,8307.15168333333,1246.94737287451,9473.60209458626
167,6831.19965494616,8362.72543611111,-1531.52578116495,7195.5998214365
168,8207.56125066598,8213.34238333333,-5.78113266733999,8650.38281420933
169,6292.02202825788,8494.33763055556,-2202.31560229771,6586.33062128244
170,8649.99974084362,3235.12471872428,5414.87502211936,10779.7255674524
171,27.5586166666681,2054.3458835391,-2026.78726687243,591.134857904459
172,21.8398750000004,8350.01001944444,-8328.17014444444,1808.15589562014
173,9560.07503644514,8166.66666666667,1393.40836977847,11903.3108054188
174,7389.57334070645,8167.194,-777.62065929352,8381.36381150136
175,1936.23872064986,9520.24724444444,-7584.00852379458,3635.96178748694
176,7400.40924070645,8167.21955,-766.810309293534,9007.464083894
177,7982.96196107682,1676.83937911523,6306.12258196161,6896.67896870021
178,22.6656666666674,3135.29447006173,-3112.62880339507,917.346398754395
179,92.5990111111116,8427.41570339506,-8334.81669228395,1955.25256741079
180,10019.2546114228,8166.66666666667,1852.58794475617,11546.7018252562
181,4927.47765391186,8213.92916388889,-3286.45150997701,7027.56906410337
182,8138.31634223114,8166.66666666667,-28.3503244355379,9050.17109247834
183,6257.27379517832,8196.2101,-1938.93630482168,7352.80340103725
184,5424.90075506138,1957.07561104253,3467.82514401886,4619.10035452843
185,376.615730666666,1794.09868312757,-1417.4829524609,803.59872229696
186,221.507523472224,8166.66666666667,-7945.15914319443,1990.10899302236
187,11048.7109780041,8166.66666666667,2882.04431133746,10680.9687567128
188,7199.74305274211,8193.28988333333,-993.546830591178,9024.67855825224
189,5714.34287576406,8960.02974444444,-3245.68686868041,8585.1023956999
190,3270.01904540466,8422.94141944445,-5152.92237403982,5340.04542594838
191,6085.76781766667,1850.64621553498,4235.12160213168,5639.4385949957
192,190.306450000001,3005.60179526749,-2815.2953452675,1097.13328429818
193,1096.34453333333,8166.66666666667,-7070.32213333333,2996.41243886375
194,1027.86938309328,9257.82892222222,-8229.95953912893,2758.67527971043
195,8149.62034646776,8167.822025,-18.2016785322485,10134.3259904794
196,4668.45472973251,8448.32063254458,-3779.86590281207,6357.53183389943
197,5572.06729811385,8244.56328888889,-2672.49599077507,6904.1544852519
198,8359.02094406722,2005.76006687243,6353.26087719479,8506.52074234515
199,125.519766666669,4051.1005356653,-3925.58076899862,1296.60572477135
200,75.4681000000001,10014.2281503772,-9938.76005037723,2479.14664019893
201,6345.75992626886,8589.058575,-2243.29864873114,8538.64804737059
202,6002.35569029492,8233.66217760631,-2231.30648731133,7940.85409059405
203,9447.27721450617,8166.66666666667,1280.61054783949,8925.30307430328
204,2846.35294471879,11303.1072162551,-8456.75427153632,5783.42490844081
205,3164.64455740741,3928.32441995885,-763.67986255142,4146.82802043748
206,110.627716666667,2256.24895936214,-2145.62124269548,665.441069177059
207,391.867233333334,8175.31939615912,-7783.45216282578,2241.79065183807
208,6760.76123251029,8201.38834722222,-1440.6271147119,8987.25261636247
209,7248.54085194616,8243.46797777778,-994.927125831615,8824.40827598743
210,10064.2214273649,8185.19136944444,1879.03005792046,9749.70989308209
211,13631.6445130051,8166.66666666667,5464.97784633849,14284.9467643821
212,10256.011224011,2252.02515946502,8003.98606454591,9592.54502266954
213,18.6619833333352,3167.1301260631,-3148.46814272976,874.145675119772
214,76.4880944444464,8911.75204996571,-8835.26395552125,2087.13641550702
215,3871.826575,8166.66666666667,-4294.84009166669,5618.95500527763
216,3682.90288844308,9070.43675606996,-5387.5338676269,5662.73804990858
217,6055.85646724966,8218.46978333333,-2162.61331608369,7193.34264336165
218,3001.44774654184,8799.40785,-5797.96010345819,4787.52212829231
219,2174.17919235254,3141.99576255144,-967.816570198891,2746.24222666102
220,145.504805555556,2065.39107283951,-1919.88626728394,635.55332888179
221,89.5823932777781,8166.66666666667,-8077.08427338889,1831.36860174322
222,3026.30883958059,8416.35220555555,-5390.04336597497,4299.37163251662
223,5185.47175195199,8186.0153,-3000.54354804802,6160.43383806008
224,6819.28242461111,8345.747075,-1526.46465038891,8721.1257237206
225,7790.57667230213,8166.66666666667,-376.089994364505,8492.66346055497
226,6023.71793511214,1959.94962098765,4063.76831412448,5854.46880340988
227,49.8333500000003,3161.17051069959,-3111.33716069959,959.399509768493
228,65.2437166666672,10677.1661687243,-10611.9224520576,2767.73660714235
229,2695.45458580246,8313.56419166667,-5618.10960586421,4060.18885193717
230,3434.1305636653,8213.61734166667,-4779.48677800137,4570.72060508647
231,4534.38241791357,8197.64713333333,-3663.26471541975,5942.43723145859
232,4405.46291799589,8338.9614,-3933.49848200417,6158.50207615231
233,4163.48649458162,2141.23493343621,2022.25156114539,4253.74470460231
234,34.6820000000004,2948.7803537037,-2914.0983537037,805.07706222876
235,812.38635,8166.66666666667,-7354.28031666666,2753.65395216125
236,4594.37686954595,8166.66666666667,-3572.28979712067,6185.53300329727
237,3.03164900590976e-13,14854.0147486283,-14854.0147486282,3335.35053625659
238,5350.75285343416,8231.2435,-2880.49064656584,6554.01222029172
239,7864.85191466804,8166.66666666667,-301.814751998609,7971.99852947963
240,10335.782180487,2201.7616255144,8134.02055497255,9844.39445881289
241,358.267816666668,2815.19419746228,-2456.92638079561,1176.76290694316
242,31.3524500000005,8329.84356515775,-8298.49111515775,1859.09541875832
243,5371.51294961488,8361.88240555555,-2990.3694559407,6897.04720482783
244,2183.25360112345,8990.60600078875,-6807.35239966531,3789.97575016294
245,5519.19064861556,8166.66666666667,-2647.4760180511,6376.73225103654
246,4234.50066659808,8250.32293333333,-4015.82226673527,5671.72451622833
247,2234.21504749726,2778.60907479424,-544.394027296999,2901.61980344821
248,96.2941305555563,3176.91918755144,-3080.62505699589,978.860181734688
249,128.812236111112,8618.58478333334,-8489.77254722222,2082.75941518056
250,6804.10236129527,8166.66666666667,-1362.56430537141,7618.36496823055
251,7239.83488543793,8166.66666666667,-926.831781228728,8982.55155757539
252,5118.24790626543,8166.66666666667,-3048.41876040125,6576.35027511397
253,6944.43611162551,9014.65003611111,-2070.21392448562,9018.9860461419
254,9.85285926920672e-13,3598.85871347736,-3598.85871347735,840.627601340613
255,312.646208333334,2482.55329958848,-2169.90709125513,936.179797677789
256,274.429700000002,8248.43258333333,-7974.00288333335,2129.6372560082
257,3088.30399144444,9612.78540010288,-6524.48140865842,5300.07446664034
258,3515.53379698354,8166.66666666667,-4651.13286968311,4820.4264776982
259,2121.64518611111,9184.32207767489,-7062.67689156375,3763.86326538205
260,3137.13489818245,8577.86625833333,-5440.73136015088,4588.37611904063
261,8874.16791153532,2931.14230020576,5943.02561132954,7849.81274331312
262,335.881983333334,3096.94100195473,-2761.0590186214,1173.59459540346
263,368.946216666667,8773.23300555556,-8404.28678888889,2456.66226365417
264,4219.69620655007,8201.67733333333,-3981.98112678327,5320.25672976375
265,1738.27260706447,8987.32888333333,-7249.05627626888,3181.47392167897
266,4767.90089777092,8417.32709722222,-3649.42619945129,6584.76997122273
267,7107.00897727503,8166.66666666667,-1059.65768939161,8150.62415535129
268,5923.56729067216,3222.90026995885,2700.66702071331,5404.14053697132
269,420.68925,4156.34735747599,-3735.658107476,1611.04137967927
270,863.09066388889,8180.22598333333,-7317.13531944445,2805.07326607584
271,8552.47016930727,8166.66666666667,385.803502640629,8441.72626529699
272,4139.38208977778,8477.17333247599,-4337.79124269821,5643.65925526646
273,5932.48870024006,8464.76584722222,-2532.27714698217,7217.05453182057
274,218.518874828529,8390.83150277778,-8172.31262794924,1939.63562984835
275,3.03164900590976e-13,6302.78822952675,-6302.78822952673,1663.26962468346
276,700.408683333334,3621.82830761317,-2921.41962427984,1666.01801040513
277,295.39684775,8663.57847777778,-8368.18163002777,2290.16841245495
278,2262.67106021948,9815.13830603567,-7552.46724581618,4424.40270251357
279,5744.55055596708,8218.98863333333,-2474.43807736625,6905.37447954065
280,6455.53232307956,8166.66666666667,-1711.13434358712,7748.03060164217
281,3774.79547105075,8166.66666666667,-4391.87119561591,5053.56757240556
282,7.5791225147744e-13,5647.69450438957,-5647.69450438955,1252.34584721031
283,311.997573444445,4638.79910329218,-4326.80152984775,1468.77252640922
284,309.936423666667,8346.694775,-8036.75835133334,2176.16137930451
285,4994.08250473251,8166.66666666667,-3172.58416193417,6092.51931575627
286,1160.10725936214,8625.03738333333,-7464.93012397119,2613.57046509148
287,2755.30873641975,8602.84198333333,-5847.53324691358,4291.89035308795
288,2569.22830159842,9787.17201666667,-7217.94371506822,4554.13462737084
289,4623.9135611797,4356.01319886831,267.900362311397,5310.50189377448
290,1354.97491936111,4417.15490720164,-3062.17998784054,2590.9485866469
291,543.385104138889,9322.74747427983,-8779.36237014095,2842.6063930454
292,4211.02952314815,8414.08509166667,-4203.05556851851,5925.29558225886
293,997.066481755828,8897.24026196845,-7900.17378021267,2883.21999904407
294,3792.00728398491,8990.64481111111,-5198.63752712618,5752.15679228752
295,4026.6959032236,8206.64760555555,-4179.95170233196,6176.79133374931
296,2480.13526495199,14152.0402203704,-11671.9049554183,6468.14265124919
297,409.914411885461,4625.31727592593,-4215.40286404045,1447.25028790284
298,372.047828416666,8216.97516111111,-7844.92733269445,2199.27259321195
299,4618.88440713306,13226.9290277778,-8608.04462064469,8361.03607687091
300,6408.8347913738,8166.66666666667,-1757.83187529286,7756.79283757199
301,6983.14728453361,8166.66666666667,-1183.51938213305,8824.26708900647
302,1461.12618429355,8558.71255,-7097.58636570651,3241.6723995571
303,6896.26801273628,4813.56694513032,2082.70106760596,8376.667925714
304,217.276450833333,5704.08492112483,-5486.8084702915,1568.98420296194
305,285.276151444445,8229.03198696845,-7943.755835524,2083.05158088855
306,4738.66777047324,8472.48635277778,-3733.81858230452,5304.82508515876
307,2699.39623933471,11448.8096443721,-8749.41340503732,5588.04163769707
308,4210.72950290809,8182.42323333333,-3971.69373042526,5766.70644423274
309,748.583591673186,12639.5392855281,-11890.9556938549,3587.35146658195
310,3056.8051637308,5398.77620740741,-2341.97104367662,4387.34283518682
311,418.793491586077,5181.07759897119,-4762.28410738512,1539.40960530578
312,119.948389094651,8167.27278333333,-8047.32439423868,1842.03833162912
313,1619.46996625515,8827.03075833333,-7207.56079207826,3564.97558397991
314,2769.30622319273,8391.20351111111,-5621.89728791837,4376.98276812166
315,127.84755785323,10529.3999971389,-10401.5524392857,2705.64338293924
316,2356.3552018714,8446.87201666667,-6090.51681479526,4159.23750930506
317,3905.97711686797,5811.9883436214,-1906.01122675346,5305.93176064526
318,304.554703891973,5524.78253580247,-5220.2278319105,1401.69905382063
319,6.82121026329696e-13,8961.01828600823,-8961.01828600824,1943.08120405819
320,3869.22845595508,8183.55105555555,-4314.32259960052,6257.74180631546
321,7123.52334089986,8166.66666666667,-1043.14332576681,8627.31985105117
322,1791.67168335768,8258.32580277778,-6466.65411942008,3582.37717510192
323,6219.9547933978,8166.66666666667,-1946.71187326885,8206.04160852895
324,3572.36654435253,6296.59300411523,-2724.22645976271,4894.90314893302
325,741.557202043894,6047.82080679012,-5306.26360474624,1918.89437050489
326,810.499387037036,8287.205075,-7476.70568796297,2279.09826306792
327,4599.77876931893,8166.66666666667,-3566.88789734773,7097.06815795165
328,2981.57412202777,8166.66666666667,-5185.09254463889,4799.75313271403
329,6.82121026329696e-13,12969.1956191944,-12969.1956191945,3284.83632607139
330,1652.85968292181,8662.2065749657,-7009.34689204385,3830.34750550767
331,3164.76542950103,6660.16081790124,-3495.39538840024,4823.43140250898
332,1899.15449775926,6569.0245255144,-4669.87002775515,2711.10299595244
333,1567.24501803841,8320.1633436214,-6752.91832558299,2872.23070032275
334,3163.79621866187,8228.20201111111,-5064.40579244922,5392.88912361476
335,22.7824474722211,10276.2669336111,-10253.4844861389,2512.73210380967
336,175.67376872222,10173.7370439722,-9998.06327525005,2574.51970949704
337,7078.3913345192,8166.66666666667,-1088.2753321475,9217.02351644096
338,443.981863333334,10315.7263665638,-9871.74450323044,3189.49794067842
339,5893.35615229767,7022.92247037037,-1129.56631807274,6848.09695075391
340,4316.8694664609,8347.85924444444,-4030.98977798354,6306.69259678731
341,547.280912894373,12471.0060609722,-11923.7251480778,3841.87748957381
342,585.247907990398,8370.35995881344,-7785.11205082305,2405.07402399213
343,1034.13850133745,11247.6480409722,-10213.5095396348,4162.69887356245
344,3120.28384053978,8253.21055833333,-5132.92671779357,5113.4200922104
345,5.30538576034208e-13,9166.90049262689,-9166.90049262691,2046.04014934469
346,6594.98079451303,7500.16356666666,-905.182772153625,7634.25462463827
347,5501.30458810014,8166.74783333333,-2665.44324523318,7489.95242066797
348,4967.69267599451,8166.66666666667,-3198.97399067218,7202.27293213868
349,5769.12521370233,8166.66666666667,-2397.54145296433,8233.00414433884
350,41.9488433611137,8402.30627777778,-8360.35743441667,1817.93915897252
351,349.990444204391,10790.7231083333,-10440.732664129,3208.31460420359
352,2556.20980716735,8166.66666666667,-5610.45685949933,4693.67703083277
353,5788.20240658436,8192.73086666667,-2404.5284600823,6581.78453631848
354,4537.30425835871,8240.90086666667,-3703.59660830795,6088.7971084574
355,2647.03522625,9654.83643258333,-7007.80120633337,5547.79050959006
356,2244.6293274976,8186.07849166667,-5941.44916416907,4120.65522037143
357,1369.01763926612,10740.3498416667,-9371.33220240056,4345.50123058099
358,983.07126413546,8398.64833055555,-7415.57706642011,2938.3000580278
359,3512.66507285528,8166.66666666667,-4654.00159381135,5573.32067902929
360,5884.3388957476,8175.3463,-2291.0074042524,6945.38675275256
361,6918.42919457133,8214.40763888889,-1295.97844431757,8596.87201523913
362,450.775622266117,8434.82808611111,-7984.05246384503,2273.1752679118
363,3758.68760027435,8209.06625,-4450.37864972562,5958.93419930319
364,650.015716194443,8985.00805277778,-8334.99233658331,2793.45770445416
365,1821.86568247599,1074.06673597222,747.798946503797,2615.63362571184
