date,buy_kwh,em_kwh,cost_yuan,chg_kwh,dis_kwh,curt_kwh,pv_load_kwh,pv_chg_kwh,E0_kwh,E24_kwh,exitflag,abs_gap
2025-03-31,60981.6980460905,0,36338.0076494007,21066.8433127572,17064.1430833333,0,54445.9196166667,5678.35651666667,1200,1200,1,7.27595761418343e-12
2025-04-01,64225.0843825103,0,37922.4128025444,21198.2080658436,17170.5485333333,0,54688.1496333333,3070.14515,1200,1200,1,2.18278728425503e-11
2025-04-02,64512.7654,0,38320.2637245283,21333.3333333333,17280,0,53753.80445,3797.4896,1200,1200,1,0
2025-04-03,60097.966909465,0,36063.1276305336,21369.9472427983,17309.6572666667,0,54116.6960166666,7904.22981666667,1200,1200,1,0
2025-04-04,27313.0837539095,0,13314.8942424897,14718.7516872428,11922.1888666667,18128.2720166667,36510.0108833333,10666.6666666667,1200,1200,1,1.2732925824821e-11
2025-04-05,27559.5145174897,0,13596.8617300049,14353.5852674897,11626.4040666667,12924.1616666667,36967.79925,10666.6666666667,1200,1200,1,0
2025-04-06,58474.7262666667,0,34785.6857585883,21333.3333333333,17280,0,54897.0349,7898.31941666667,1200,1200,1,1.45519152283669e-11
2025-04-07,57246.6684732551,0,33847.6572397723,21273.9343329218,17231.8868096667,0,55775.66865,7996.7541,1200,1200,1,0
2025-04-08,58396.08195,0,35199.57217627,21333.3333333333,17280,0,54438.12985,8921.9668,1200,1200,1,0
2025-04-09,63238.2949230453,0,37231.8198427732,21474.2924897119,17394.1769166667,0,54468.1873166666,4075.0242,1200,1200,1,2.91038304567337e-11
2025-04-10,58685.8695666667,0,35101.5705649033,21333.3333333333,17280,0,55039.6349333333,8168.42785,1200,1200,1,3.48437066171027
2025-04-11,27003.3545403292,0,13116.7280422829,14317.5647736626,11597.2274666667,18994.3687333333,37114.3111833333,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-04-12,26170.1196520576,0,12770.4680828434,13687.8615020576,11087.1678166667,14695.66875,37569.6798,10666.6666666667,1200,1200,1,0
2025-04-13,58333.3892454732,0,34550.204950179,21157.1443621399,17137.2869333333,0,56069.3188833333,6937.38483333333,1200,1200,1,0
2025-04-14,56467.1222483334,0,33188.8519669687,20828.9585,16871.456385,0,57639.5245666667,7733.81631666667,1200,1200,1,0
2025-04-15,54007.8404843621,0,32454.3690029168,20303.4999176955,16445.8349333333,0,57288.9101833333,9628.56615,1200,1200,1,0.616438929402648
2025-04-16,59660.102282716,0,34984.5589418924,20587.5543827161,16675.91905,0,56665.3835166666,5479.9096,1200,1200,1,0
2025-04-17,56919.1081549382,0,33897.1440447997,20352.4516049383,16485.4858,0,57058.3490333333,7560.35125,1200,1200,1,0
2025-04-18,25741.8552018518,0,12261.5022503356,13734.1585185185,11124.6684,16788.9029,37680.4826,10666.6666666667,1200,1200,1,0
2025-04-19,25534.1560849794,0,12135.2963930094,13766.5405349794,11150.8978333333,16305.1624666667,38148.9069666667,10666.6666666667,1200,1200,1,0
2025-04-20,55966.5532913333,0,32915.0951352947,21210.6232,17180.604792,0,56973.4470166667,8266.62445,1200,1200,1,0
2025-04-21,52371.4802837448,0,31149.7628448941,20040.4293004115,16232.7477333333,0,59414.0016833333,10550.7258166667,1200,1200,1,3.63797880709171e-12
2025-04-22,55977.8246991769,0,32822.382302459,20471.756399177,16582.1226833333,0,58198.6859166667,7459.38578333333,1200,1200,1,0
2025-04-23,55280.4097271605,0,32301.4510698101,20258.5421604938,16409.41915,0,59062.7796833333,7567.81836666667,1200,1200,1,1.81898940354586e-11
2025-04-24,51303.8277333333,0,30690.5217280617,19833.3333333333,16065,281.792699999997,59459.2136,10666.6666666667,1200,1200,1,1.99759591111797
2025-04-25,24872.211979784,0,11775.2591648485,13235.8327006173,10721.0244875,20318.8077833333,38773.6370166667,10670.51875,1200,1200,1,7.27595761418343e-12
2025-04-26,25129.5969985597,0,12057.7701556781,13110.3024485597,10619.3449833333,22748.8725666667,38615.1915,10666.6666666667,1200,1200,1,0
2025-04-27,52769.5042479424,0,31628.137376963,20501.3334979424,16606.0801333333,348.898033333334,57443.48665,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-04-28,60551.9980121399,0,35166.7559063288,20519.1176954733,16620.4853333333,0,57099.7404,3815.59308333333,1200,1200,1,7.27595761418343e-12
2025-04-29,51130.8128820988,0,31007.7189917873,18553.6054320988,15028.4204,140.619133333335,59012.2592,10666.6666666667,1200,1200,1,1.81898940354586e-11
2025-04-30,51780.2976343621,0,30525.5763399035,19013.5782510288,15400.9983833333,0,60650.03235,8775.99393333333,1200,1200,1,0
2025-05-01,55697.2423759259,0,34288.3870369483,20488.3075925926,16595.52915,590.868466666671,58095.6699833333,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-05-02,28725.0208917695,0,14826.9170970914,13662.2006584362,11066.3825333333,11855.24935,37948.7906333333,10666.6666666667,1200,1200,1,0
2025-05-03,27665.9987613169,0,14154.3976029978,13306.6974279835,10778.4249166667,16420.5679333333,38940.4430333333,10666.6666666667,1200,1200,1,0
2025-05-04,55263.2046547325,0,33682.3024419635,18485.5736213992,14973.3146333333,0,60646.5855666667,8288.83133333333,1200,1200,1,1.45519152283669e-11
2025-05-05,59041.4029950617,0,35504.5947134278,20864.6817283951,16900.3922,0,58006.2234833333,7529.93358333333,1200,1200,1,0
2025-05-06,56859.6092504115,0,34327.1673123224,21151.0976337449,17132.3890833333,0,58397.8367,9749.27103333333,1200,1200,1,0
2025-05-07,58964.9782442387,0,35911.5034692163,20585.933127572,16674.6058333333,0,57903.75545,8188.61361666667,1200,1200,1,0.382852393093344
2025-05-08,59678.6780026749,0,35801.5192353047,19375.9154526749,15694.4915166667,0,59008.94955,5610.01543333333,1200,1200,1,1.45519152283669e-11
2025-05-09,27500.8045335391,0,13956.2471477762,13423.5796502058,10873.0995166667,16384.5052166667,38703.2677166667,10666.6666666667,1200,1200,1,1.09139364212751e-11
2025-05-10,27265.9505416667,0,13818.945444015,13172.6091666667,10669.813425,12841.9561833333,39012.3764166667,10672.6091666667,1200,1200,1,0.531402353835801
2025-05-11,59096.8107529959,0,35559.7273723107,19198.5965069959,15550.8631706667,0,59385.6940166667,5873.31731666667,1200,1200,1,1.45519152283669e-11
2025-05-12,55342.4574855967,0,33661.8511752557,17622.7311522634,14274.4122333333,0,61252.1447,7265.26368333333,1200,1200,1,1.45519152283669e-11
2025-05-13,56874.3134977366,0,34107.1893920015,19691.1705144033,15949.8481166667,0,60237.3774166667,6903.04141666667,1200,1200,1,2.18278728425503e-11
2025-05-14,56649.977263786,0,33991.394490366,19397.1498971193,15711.6914166667,0,60491.6152833334,7086.2412,1200,1200,1,0
2025-05-15,56654.2494374486,0,34150.638069409,19621.2780041152,15893.2351833333,0,58837.09245,7996.15908333333,1200,1200,1,7.27595761418343e-12
2025-05-16,26282.7208540123,0,13076.8333958011,12512.4581790123,10135.091125,21180.8672666667,40116.77845,10668.1925,1200,1200,1,0
2025-05-17,27041.6815899177,0,13837.226211647,12493.8921399177,10120.0526333333,14392.733,39766.3316833333,10666.6666666667,1200,1200,1,0
2025-05-18,57452.1895952675,0,33903.4233398329,19857.2447119342,16084.3682166667,0,60617.75705,6393.11185,1200,1200,1,7.27595761418343e-12
2025-05-19,51596.7065148148,0,31531.8864154752,18656.0068518519,15111.36555,540.161996296294,61340.7307333333,10676.2787037037,1200,1200,1,3.63797880709171e-12
2025-05-20,58147.3740580247,0,34746.9457883387,18924.6363580247,15328.95545,0,60462.7364333333,5447.44646666667,1200,1200,1,0
2025-05-21,54746.5860921811,0,33457.873335758,17946.2849588477,14536.4908166667,0,60322.78765,8597.64835,1200,1200,1,7.27595761418343e-12
2025-05-22,54551.3585286008,0,33045.6201076048,18698.8563786008,15146.0736666667,0,60597.9269666667,8315.12223333334,1200,1200,1,0
2025-05-23,26197.01221893,0,13051.0670177298,12579.94281893,10189.7536833333,17387.3675333333,40508.4013,10666.6666666667,1200,1200,1,0
2025-05-24,25933.2276940329,0,12802.5269330735,12422.6584773663,10062.3533666667,19952.2945333333,40320.3552333333,10666.6666666667,1200,1200,1,0
2025-05-25,51992.0883195473,0,31817.297905849,18054.288436214,14623.9736333333,0,61738.4701166667,10036.3973,1200,1200,1,0.579671248346131
2025-05-26,58181.7211164609,0,34602.2546389691,19130.4903497942,15495.6971833333,0,59526.2041333333,5301.93228333333,1200,1200,1,0
2025-05-27,52841.0504853909,0,31968.4787268185,18197.2448353909,14739.7683166667,0,61623.2716666667,9033.18838333334,1200,1200,1,3.63797880709171e-12
2025-05-28,55943.6385209876,0,33376.8293358234,19457.1109876543,15760.2599,0,60306.1521833333,7341.87093333333,1200,1200,1,0
2025-05-29,58074.6745911667,0,34840.2401729463,19803.2952166667,16040.6691255,0,59734.8492166667,6594.34155,1200,1200,1,0
2025-05-30,26384.3716076132,0,13254.7252103641,12767.0503909465,10341.3108166667,17365.8104333333,39983.5141166667,10666.6666666667,1200,1200,1,0
2025-05-31,26111.2940554012,0,12841.9769153711,12841.5941512346,10401.6912625,15567.9912833333,40123.3268333333,10697.8329166667,1200,1200,1,0
2025-06-01,75330.97548,0,45891.4287424346,21509.1886666667,17422.44282,0,56464.7025,559.031233333333,1200,1200,1,1.9889675641316
2025-06-02,72866.9231037037,0,45053.0672732424,22178.6087037037,17964.67305,0,55506.2839833333,3933.44555,1200,1200,1,0
2025-06-03,72298.3079158436,0,44364.9771838701,21784.786399177,17645.6769833333,0,56766.9276,3117.54613333333,1200,1200,1,0
2025-06-04,73744.1978158436,0,44802.8048486682,21582.3613991769,17481.7127333333,0,57522.9099333333,1371.67283333333,1200,1200,1,0
2025-06-05,75545.4118280124,0,46244.2031174436,22347.1077790123,18101.157301,0,55421.4578166667,1885.14483333333,1200,1200,1,2.18278728425503e-11
2025-06-06,35681.8442440329,0,20335.3079036943,13645.9184773663,11053.1939666667,2166.41933333333,39059.3336,10666.6666666667,1200,1200,1,0
2025-06-07,34233.6360691358,0,19173.0179257957,13676.6291358025,11078.0696,720.478366666662,40643.10155,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-06-08,68923.8571944444,0,42464.1268459321,19636.6961111111,15905.72385,0,59468.4810166667,3613.54236666667,1200,1200,1,0
2025-06-09,75178.182558642,0,46396.1613254576,22422.1569753086,18161.94715,0,55271.0552166667,1965.42003333333,1200,1200,1,0
2025-06-10,75886.6220883127,0,46471.0028746715,22469.4185349794,18200.2290133333,0,54422.7685,1373.27905,1200,1200,1,2.91038304567337e-11
2025-06-11,80592.9853893004,0,50269.0028349636,23632.7231893004,19142.5057833333,0,51128.4358166667,1023.79518333333,1200,1200,1,1.45519152283669e-11
2025-06-12,76978.9510559445,0,47517.0397833595,22784.2436277778,18455.2373385,0,54147.9283833334,1121.49316666667,1200,1200,1,7.27595761418343e-12
2025-06-13,33957.886826749,0,19111.4749217108,13678.058744856,11079.2275833333,3049.413631893,39811.0855166667,10683.7775514403,1200,1200,1,0
2025-06-14,33891.6891703704,0,18941.1266037444,13252.2987037037,10734.36195,5311.838,40081.3097,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-06-15,74855.8743333334,0,45711.408809365,22333.3333333333,18090,0,56026.9343666667,714.975816666667,1200,1200,1,0
2025-06-16,76979.1724533333,0,47559.074101688,22451.463,18185.68503,0,53737.7756833334,1186.80351666667,1200,1200,1,0.37306673299463
2025-06-17,79021.5578833333,0,48905.7312711816,23166.6666666667,18765,0,52272.80695,401.936433333333,1200,1200,1,0.0387093463214114
2025-06-18,75099.5033722222,0,45938.9523982656,22056.6972222222,17865.92475,0,55593.0228,387.665216666667,1200,1200,1,0
2025-06-19,72541.052085391,0,44570.983779088,21963.2081687243,17790.1986166667,0,56241.6760166667,2847.88668333333,1200,1200,1,0
2025-06-20,32193.9317942387,0,17760.8619880126,12890.4864609054,10441.2940333333,7304.42018333333,40765.4120166666,10666.6666666667,1200,1200,1,0
2025-06-21,32074.2862323045,0,17239.2519870841,13233.9900823045,10719.5319666667,10292.6193833333,41114.03835,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-06-22,71455.7499711934,0,43544.1179880247,21302.4589711934,17254.9917666667,0,57211.3433333333,1870.77748333333,1200,1200,1,0
2025-06-23,71304.4450641975,0,43968.0006321871,22361.8108641975,18113.0668,0,56282.0178666667,3347.56921666667,1200,1200,1,0
2025-06-24,80651.6467401667,0,49883.9503610773,23287.83065,18863.1428265,0,50674.7699166667,169.28285,1200,1200,1,0.973948721373745
2025-06-25,74654.114981572,0,45310.5518921919,21999.299727572,17819.4327793333,0,55072.2387833333,800.748283333333,1200,1200,1,0
2025-06-26,71768.9794319054,0,43891.5258605524,21490.354027572,17407.1867623333,0,56789.6737666666,2360.38776666667,1200,1200,1,0
2025-06-27,31537.1857670782,0,17179.1810712098,13153.7659670782,10654.5504333333,9233.00936666667,39891.9331,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-06-28,31832.7907012346,0,17170.8305947444,13124.1229012346,10630.53955,7760.33456666667,40457.64545,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-06-29,73416.7188607325,0,44620.7781007833,21669.0543547325,17551.9340273333,0,55870.9450166667,1246.09516666667,1200,1200,1,2.91038304567337e-11
2025-06-30,73759.728030679,0,45043.5455772835,21215.8721790123,17184.856465,0,54836.7567666667,1232.87983333333,1200,1200,1,0
2025-07-01,83024.0685738683,0,51567.9011837581,21908.2344238683,17745.6698833333,0,61252.4714666667,1427.83556666667,1200,1200,1,2.18278728425503e-11
2025-07-02,76841.0314129629,0,47765.0899990267,20537.2546296296,16635.17625,0,64422.76565,3871.1262,1200,1200,1,0
2025-07-03,84206.4090276934,0,52559.09017213,22540.2636545267,18257.6135601667,0,60385.65395,1419.46575,1200,1200,1,0
2025-07-04,41250.3083487654,0,23763.7946875396,13790.8404320988,11170.58075,9760.98953333334,46486.5420833333,10666.6666666667,1200,1200,1,0
2025-07-05,41649.6232248971,0,24069.3491610902,13901.1576748971,11259.9377166667,10363.6899666667,46052.3983,10666.6666666667,1200,1200,1,0
2025-07-06,84133.0494021214,0,52931.1895130177,22968.2079936214,18604.2484748333,0,59160.8665166666,2289.72658333333,1200,1200,1,1.45519152283669e-11
2025-07-07,77246.8874563786,0,47914.3235632826,20144.9808230453,16317.4344666667,0,64728.5051,3357.40628333333,1200,1200,1,1.45519152283669e-11
2025-07-08,79781.8718520576,0,50344.4937558897,22118.9465020576,17916.3466666667,0,60590.62815,5123.21183333333,1200,1200,1,7.27595761418343e-12
2025-07-09,78254.661990535,0,48730.7159834633,21913.291090535,17749.7657833333,0,62837.44035,3694.5396,1200,1200,1,0
2025-07-10,77128.8928378601,0,48447.9916229521,21587.5673045267,17485.9295166667,0,62314.9871833333,5294.93168333333,1200,1200,1,7.27595761418343e-12
2025-07-11,41429.7412458848,0,23764.5219083374,14309.6436625514,11590.8113666667,6281.63846666667,45274.0061166666,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-07-12,41645.1311166667,0,24099.9572669467,13905.405,11263.37805,8016.2475,45551.2136,10666.6666666667,1200,1200,1,0
2025-07-13,73216.6570187243,0,46330.0340833932,20807.2015020576,16853.8332166667,0,63269.6005333333,7356.04555,1200,1200,1,0
2025-07-14,75590.158004321,0,47497.9774561352,20005.9409876543,16204.8122,0,64917.0486,4337.69565,1200,1200,1,1.89409654519113
2025-07-15,76604.1422380659,0,47775.7819107353,20166.3069547325,16334.7086333333,0,63749.25805,3046.85403333333,1200,1200,1,2.91038304567337e-11
2025-07-16,75985.4937606996,0,47643.5646028355,20206.0984773663,16366.9397666667,0,63483.9188833333,4746.78311666667,1200,1200,1,0
2025-07-17,77058.2652962963,0,48391.1390715322,21898.302962963,17737.6254,0,61384.3021833333,5464.44103333333,1200,1200,1,0
2025-07-18,40110.5593327161,0,23070.8825000748,13626.1810493827,11037.20665,6251.53516666667,45505.6232666667,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-07-19,40426.7355421811,0,23601.0213104302,13023.1182921811,10548.7258166667,11004.21235,45710.8243333333,10666.6666666667,1200,1200,1,0
2025-07-20,76061.5077720165,0,47267.9269736648,20630.2959053498,16710.5396833333,0,63042.28845,3618.2721,1200,1200,1,0
2025-07-21,78044.6906707819,0,48752.0959157231,21476.2613374486,17395.7716833333,0,60891.6368833333,3561.43356666667,1200,1200,1,0
2025-07-22,77897.0191658436,0,48475.200278952,21458.6730658436,17381.5251833333,0,62383.4106,3336.3036,1200,1200,1,0
2025-07-23,78389.6170781893,0,49107.4252190038,22086.2454115226,17889.8587833333,0,60960.2679333333,4273.2186,1200,1200,1,0
2025-07-24,77762.8244600823,0,48686.9751354593,20809.4778600823,16855.6770666667,0,61657.6186833333,3628.12683333333,1200,1200,1,0
2025-07-25,39544.4343847737,0,22743.9874962482,13545.194218107,10971.6073166667,10495.5345833333,44630.50485,10723.4806833333,1200,1200,1,0
2025-07-26,39969.5515644033,0,23014.8485421621,13768.0555144033,11152.1249666667,9038.61945,45013.31225,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-07-27,77864.8571419753,0,48588.1461287354,22049.5386419753,17860.1263,0,59637.0838666666,4787.92261666667,1200,1200,1,0
2025-07-28,82078.1756203703,0,51246.1004232128,21551.702037037,17456.87865,0,59089.8216166667,1184.29958333333,1200,1200,1,0
2025-07-29,80182.9646520411,0,49654.5198281906,21711.6510633745,17586.4373613333,0,60945.3110166667,1300.18815,1200,1200,1,0
2025-07-30,78195.3604012346,0,48847.6497787664,21432.1562345679,17360.04655,0,60311.3896833333,4009.7207,1200,1200,1,2.18278728425503e-11
2025-07-31,79062.685791358,0,49385.1690239118,22204.2080246914,17985.4085,0,59694.8941,3033.42335,1200,1200,1,2.18278728425503e-11
2025-08-01,38860.8747604938,0,22336.9021303944,13007.8471604938,10536.3562,15112.6841333333,45688.7136333333,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-08-02,38342.1002825103,0,22132.6700076803,13334.7330658436,10801.1337833333,15123.9210666667,44844.63155,10666.6666666667,1200,1200,1,1.09139364212751e-11
2025-08-03,66665.2544823046,0,42561.6695105995,19825.4184156379,16058.5889166667,0,65078.3117,10144.6944666667,1200,1200,1,1.19499782305502
2025-08-04,69134.2502843622,0,43722.329390361,19819.5449176955,16053.8313833333,0,64716.4602666666,8179.9916,1200,1200,1,0
2025-08-05,69064.8886183127,0,43299.3459308108,20280.0555349794,16426.8449833333,0,63355.4850833333,7950.70246666667,1200,1200,1,0
2025-08-06,71866.2402474609,0,45380.7578777723,20160.8735831276,16330.3076023333,0,61593.4765833333,7008.21195,1200,1200,1,0
2025-08-07,67510.7340907407,0,42830.4106363433,20483.3974074074,16591.5519,0,63230.6910166666,10232.0782,1200,1200,1,0
2025-08-08,38331.0431755144,0,21820.0954796238,13843.7816255144,11213.4631166667,19898.7934166667,44362.5847833333,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-08-09,38463.2152462963,0,21966.5104797689,13784.3062962963,11165.2881,17120.8247166667,43594.4113666667,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-08-10,69015.6537899177,0,43574.5098066753,19543.235473251,15830.0207333333,0,63901.486,7329.33966666666,1200,1200,1,0
2025-08-11,68504.7990969136,0,43278.3559528104,20760.1619135802,16815.73115,0,62695.0714833333,9165.9387,1200,1200,1,0
