date,buy_kwh,em_kwh,cost_yuan,chg_kwh,dis_kwh,curt_kwh,E0_kwh,E24_kwh
2025-02-06,84330.1800329218,0,52740.3647908243,23431.1990329218,19519.2712166667,0,8550,7950
2025-02-07,37432.1627135803,0,19142.1471105472,20438.9902469136,16555.5821,1732.73656666666,7950,7950
2025-02-08,36800.5604374486,0,18804.6719960453,20169.6246707819,15797.3959833333,988.882366666667,7950,8550
2025-02-09,84070.2350440329,0,52323.6431109852,23977.1618106996,19421.5010666667,0,8550,8550
2025-02-10,78746.0498033333,0,48610.0550439393,23359.8713333333,18921.49578,0,8550,8550
2025-02-11,79700.3647246913,0,49483.7985391384,23273.2680246914,18851.3471,0,8550,8550
2025-02-12,79695.4058138333,0,49602.3826830583,23330.05095,18897.3412695,0,8550,8550
2025-02-13,75155.454937037,0,46321.0562511243,22254.5487037037,18566.18445,0,8550,7950
2025-02-14,35316.5963765432,0,18103.6754731485,18944.6382098765,15555.7489666667,2140.63365,7950,7716.00887037037
2025-02-15,36327.1039833333,0,18580.8152527383,19666.6666666667,15179.4079833333,2689.13586666666,7716.00887037037,8550
2025-02-16,79727.4201467078,0,49291.5792237146,22920.2072633745,18565.3678833333,0,8550,8550
2025-02-17,75478.9418777778,0,46213.366103425,22680.4844444444,18371.1924,0,8550,8550
2025-02-18,76530.2584418457,0,46936.2369333438,23245.775395679,18829.0780705,0,8550,8550
2025-02-19,77250.1755444444,0,47751.9858252978,23150.1394444444,18751.61295,0,8550,8550
2025-02-20,74303.243045679,0,45775.4394730234,21281.1140123457,18126.7630333333,0,8550,7562.1547962963
2025-02-21,33914.8834450617,0,17127.379189614,18170.2183950617,15040.9393166667,5245.32233333333,7562.1547962963,7203.19655555555
2025-02-22,35769.5094666667,0,18075.8876532083,19666.6666666667,14717.8769,3123.20515,7203.19655555555,8550
2025-02-23,75853.0036932099,0,46433.6643229102,22644.7632098765,18342.2582,0,8550,8550
2025-02-24,72487.6060742798,0,44301.6953719811,22513.9953909465,18236.3362666667,0,8550,8550
2025-02-25,69994.8557351852,0,42843.8199558217,21839.6535185185,17690.11935,0,8550,8550
2025-02-26,73037.4132796296,0,44531.5394513443,22373.8346296296,18122.80605,0,8550,8550
2025-02-27,69619.6799290123,0,43339.4989734095,20777.717345679,18289.84495,0,8550,6927.89566666667
2025-02-28,32348.0427382716,0,16373.7908723138,17061.4416049383,14470.1061,6503.19035,6927.89566666667,6205.29744444444
2025-03-01,34365.9575666667,0,17353.8675176933,19686.9670781893,13836.2110333333,4967.65225514403,6205.29744444444,8550
2025-03-02,76835.1833909465,0,47177.3108125811,23720.2087242798,19213.3690666667,0,8550,8550
2025-03-03,76453.1567139918,0,47052.4574574028,23360.3162139918,18921.8561333333,0,8550,8550
2025-03-04,73546.3625632202,0,44722.0769662991,22863.4541923868,18519.3978958333,0,8550,8550
2025-03-05,70339.8480915638,0,42731.9054059094,22265.4793415638,18035.0382666667,0,8550,8550
2025-03-06,66924.5201950617,0,41259.6056068514,18747.6433950617,17917.639,0,8550,5514.39127777778
2025-03-07,30691.2542779835,0,15560.6391283,16392.6540946502,13197.95215,6553.2718,5514.39127777778,5603.38868518519
2025-03-08,34073.62885,0,16936.630537705,19666.6666666667,13278.0498166667,8746.10748333333,5603.38868518519,8550
2025-03-09,67431.9183849794,0,40913.4096398614,21720.0438683128,17593.2355333333,0,8550,8550
2025-03-10,72219.4420123457,0,43561.6601711975,22032.757345679,17846.53345,0,8550,8550
2025-03-11,68137.1104034979,0,41166.5177532003,21878.2540534979,17721.3857833333,0,8550,8550
2025-03-12,66498.5499781893,0,40274.0195698066,21634.2120781893,17523.7117833333,0,8550,8550
2025-03-13,68068.6140510288,0,41845.9522782511,17991.3899176955,17642.7188833333,0,8550,5139.22994444444
2025-03-14,29945.3230967078,0,15104.5143356801,16032.7639300412,12860.30695,10728.5434666667,5139.22994444444,5279.48753703704
2025-03-15,34036.2966833333,0,16868.7638573433,19666.6666666667,12986.5387833333,6616.84365,5279.48753703704,8550
2025-03-16,67489.2642691358,0,40587.8891537963,21871.9158024691,17716.2518,0,8550,8550
2025-03-17,61944.6931,0,37246.7179855283,21333.3333333333,17280,0,8550,8550
2025-03-18,65212.7988316872,0,39289.3985625952,21551.6427983539,17456.8306666667,0,8550,8550
2025-03-19,63554.6936399177,0,38302.5400504557,21520.1571399177,17431.3272833333,0,8550,8550
2025-03-20,62370.9116652263,0,38310.6934818524,17402.0624485597,17408.3642666667,0,8550,4869.22924074074
2025-03-21,29014.1570078189,0,14449.9248125079,15337.4450411523,12617.3063166667,14268.8187666667,4869.22924074074,4653.70053703704
2025-03-22,33148.9956166667,0,16178.9135884067,19666.6666666667,12423.3304833333,10197.2647,4653.70053703704,8550
2025-03-23,62838.8651166667,0,37609.1305815583,21333.3333333333,17280,0,8550,8550
2025-03-24,62069.1606794239,0,37314.5252845947,21519.7733127572,17431.0163833333,0,8550,8550
2025-03-25,65037.8188343622,0,39061.7634928507,21381.1532510288,17318.7341333333,0,8550,8550
2025-03-26,59626.1082,0,35844.6962541033,21333.3333333333,17280,0,8550,8550
2025-03-27,58653.3994574074,0,35807.9132083067,17059.8874074074,17290.9290166667,0,8550,4691.75531481481
2025-03-28,27913.4641580247,0,13778.9845116614,14847.109691358,12457.5797833333,14728.6734833333,4691.75531481481,4212.39872222222
2025-03-29,33232.70855,0,16199.85570413,19666.6666666667,12026.15885,18017.1648833333,4212.39872222222,8550
2025-03-30,59416.4698709876,0,35391.0682981218,21517.202654321,17428.93415,0,8550,8550
2025-03-31,60981.6980460905,0,36254.390982734,21066.8433127572,17064.1430833333,0,8550,8550
2025-04-01,64225.0843825103,0,37838.7961358777,21198.2080658436,17170.5485333333,0,8550,8550
2025-04-02,64512.7654,0,38236.6470578617,21333.3333333333,17280,0,8550,8550
2025-04-03,55150.0519300411,0,33883.2502156941,16422.0322633745,17309.6572666667,0,8550,4096.87651851852
2025-04-04,26947.9173341564,0,13113.4894359548,14353.5852674897,11922.1888666667,18128.2720166667,4096.87651851852,3768.22674074074
2025-04-05,32872.5959166667,0,15801.3787955933,19666.6666666667,11626.4040666667,12924.1616666667,3768.22674074074,8550
2025-04-06,58474.7262666667,0,34702.0690919217,21333.3333333333,17280,0,8550,8550
2025-04-07,57246.6684732552,0,33764.0405731057,21273.9343329218,17231.8868096667,0,8550,8550
2025-04-08,58396.08195,0,35115.9555096033,21333.3333333333,17280,0,8550,8550
2025-04-09,63238.2949230453,0,37148.2031761065,21474.2924897119,17394.1769166667,0,8550,8550
2025-04-10,53341.7863907407,0,32749.3492074762,16010.6457407407,17301.3955833333,0,8550,3735.8082962963
2025-04-11,26373.6512687243,0,12806.8103860155,13687.8615020576,11597.2274666667,18994.3687333333,3735.8082962963,3169.07535185185
2025-04-12,32148.9248166667,0,15259.2533409483,19666.6666666667,11087.1678166667,14695.66875,3169.07535185185,8550
2025-04-13,58333.3892454732,0,34466.5882835123,21157.1443621399,17137.2869333333,0,8550,8550
2025-04-14,56098.3805993621,0,32948.593847819,20460.2168510288,16871.456385,0,8550,8218.13251592592
2025-04-15,54377.7597736625,0,32529.1004221923,20678.4396736626,16450.8554,0,8218.13251592592,8550
2025-04-16,59660.102282716,0,34900.9422752257,20587.5543827161,16675.91905,0,8550,8550
2025-04-17,50986.6000067901,0,31303.1437908738,14419.9434567901,16485.4858,0,8550,3210.74266666667
2025-04-18,25774.2372183128,0,12233.7336953644,13766.5405349794,11124.6684,16788.9029,3210.74266666667,3239.88648148148
2025-04-19,31434.2822166667,0,14590.49357196,19666.6666666667,11150.8978333333,16305.1624666667,3239.88648148148,8550
2025-04-20,55299.8866246666,0,32548.2784686281,20543.9565333333,17180.604792,0,8550,7950
2025-04-21,53038.1469504115,0,31357.4914736348,20707.0959670782,16232.7477333333,0,7950,8550
2025-04-22,55977.8246991769,0,32738.7656357923,20471.7563991769,16582.1226833333,0,8550,8550
2025-04-23,54613.7430604938,0,31934.6344031434,19591.8754938272,16409.41915,0,8550,7950
2025-04-24,45547.9545111111,0,28175.9568541752,14129.2411111111,16116.781,281.792699999996,7950,2758.78255555556
2025-04-25,24750.5338110597,0,11686.4492442971,13114.154531893,10721.0244875,20318.8077833333,2758.78255555556,2649.2722037037
2025-04-26,31019.29455,0,14509.7970088633,19000,10619.3449833333,22748.8725666667,2649.2722037037,7950
2025-04-27,53436.1709146091,0,31832.9623092592,21168.0001646091,16606.0801333333,348.898033333334,7950,8550
2025-04-28,59438.936777572,0,34610.6233034152,19406.0564609053,16620.4853333333,0,8550,7548.24488888889
2025-04-29,51577.20745,0,31130.296628775,19000,15028.4204,140.619133333335,7548.24488888889,7950
2025-04-30,51780.2976343621,0,30447.8820949104,19013.5782510288,15400.9983833333,0,7950,7950
2025-05-01,50359.4430343621,0,31952.7025355265,15150.5082510288,16595.52915,590.868466666667,7950,3145.98059259259
2025-05-02,28369.5176613169,0,14636.8252162725,13306.6974279835,11066.3825333333,11855.24935,3145.98059259259,2826.02768518518
2025-05-03,33359.3013333333,0,16522.701804325,19000,10778.4249166667,16420.5679333333,2826.02768518518,7950
2025-05-04,55929.8713213992,0,33888.273897882,19152.2402880658,14973.3146333333,0,7950,8550
2025-05-05,59041.4029950617,0,35420.9780467611,20864.6817283951,16900.3922,0,8550,8550
2025-05-06,56859.6092504115,0,34243.5506456557,21151.0976337448,17132.3890833333,0,8550,8550
2025-05-07,58965.7096425926,0,35827.5039501566,20589.7825925926,16677.7239,0,8550,8550
2025-05-08,53435.590986214,0,33077.1379724611,13132.828436214,15694.4915166667,0,8550,2931.22168518518
2025-05-09,27258.8825890946,0,13815.5308999819,13181.6577057613,10873.0995166667,16384.5052166667,2931.22168518518,2713.49193518519
2025-05-10,33753.8078,0,16523.297700405,19672.6091666667,10681.9561666667,12841.9561833333,2713.49193518519,8550
2025-05-11,58430.1440863292,0,35192.9107056441,18531.9298403292,15550.8631706667,0,8550,7950
2025-05-12,56009.1241522634,0,33867.5118877848,18289.39781893,14274.4122333333,0,7950,8550
2025-05-13,56874.3134977366,0,34023.5727253349,19691.1705144033,15949.8481166667,0,8550,8550
2025-05-14,56649.977263786,0,33907.7778236994,19397.1498971193,15711.6914166667,0,8550,8550
2025-05-15,49498.5151164609,0,31043.9143493102,12465.5436831276,15893.2351833333,0,8550,2109.83911111111
2025-05-16,26265.680648251,0,13036.4325851262,12495.417973251,10135.091125,21180.8672666667,2109.83911111111,2094.50292592593
2025-05-17,34214.4561166667,0,16834.3041639433,19666.6666666667,10120.0526333333,14392.733,2094.50292592593,8550
2025-05-18,56431.9177434156,0,33386.6427141292,18836.9728600823,16084.3682166667,0,8550,7631.75533333333
2025-05-19,52616.9783666667,0,31897.7553389567,19676.2787037037,15111.36555,540.161996296296,7631.75533333333,8550
2025-05-20,57480.707391358,0,34380.129121672,18257.969691358,15328.95545,0,8550,7950
2025-05-21,54746.5860921811,0,33384.7388895459,17946.2849588477,14536.4908166667,0,7950,7950
2025-05-22,48131.3013475308,0,30255.3438111187,12278.7991975309,15146.0736666667,0,7950,2171.94853703704
2025-05-23,26039.7278773662,0,12951.5321468738,12422.6584773663,10189.7536833333,17387.3675333333,2171.94853703704,2030.39262962963
2025-05-24,31729.9332695473,0,15215.5972400484,18219.3640528807,10062.3533666667,19952.2945333333,2030.39262962963,7247.42764759259
2025-05-25,53439.3909333333,0,32366.25308879,19501.59105,14623.9736333333,0,7247.42764759259,8550
2025-05-26,57515.0544497942,0,34235.4379723024,18463.8236831276,15495.6971833333,0,8550,7950
2025-05-27,53507.7171520576,0,32179.5490157501,18863.9115020576,14739.7683166667,0,7950,8550
2025-05-28,55943.6385209877,0,33293.2126691567,19457.1109876543,15760.2599,0,8550,8550
2025-05-29,51175.0583154465,0,31840.7274665965,12903.6789409465,16040.6691255,0,8550,2340.34535185185
2025-05-30,26427.7491179012,0,13238.0273237468,12810.4279012346,10341.3108166667,17365.8104333333,2340.34535185185,2379.38511111111
2025-05-31,32967.5328208333,0,15704.59047626,19697.8329166667,10401.6912625,15567.9912833333,2379.38511111111,8550
2025-06-01,75351.3017222222,0,45805.8231082039,21616.1688888889,17509.0968,0,8550,8550
2025-06-02,72866.9231037037,0,44969.4506065758,22178.6087037037,17964.67305,0,8550,8550
2025-06-03,72298.3079158436,0,44281.3605172035,21784.786399177,17645.6769833333,0,8550,8550
2025-06-04,73744.1978158436,0,44719.1881820015,21582.361399177,17481.7127333333,0,8550,8550
2025-06-05,69524.6636387119,0,43613.159694242,16326.3595897119,18101.157301,0,8550,3131.32662962963
2025-06-06,35712.5549024691,0,20307.4642169165,13676.6291358025,11053.1939666667,2166.41933333334,3131.32662962963,3158.96622222222
2025-06-07,40223.6736,0,21666.598281055,19666.6666666667,11078.0696,720.478366666659,3158.96622222222,8550
2025-06-08,68923.8571944445,0,42380.5101792655,19636.6961111111,15905.72385,0,8550,8550
2025-06-09,75178.1825586419,0,46312.5446587909,22422.1569753086,18161.94715,0,8550,8550
2025-06-10,75886.6220883127,0,46387.3862080049,22469.4185349794,18200.2290133333,0,8550,8550
2025-06-11,80592.9853893004,0,50185.3861682969,23632.7231893004,19142.5057833333,0,8550,8550
2025-06-12,70973.2322493601,0,44892.305695022,16778.5248211934,18455.2373385,0,8550,3144.85307407407
2025-06-13,33549.2376703704,0,18899.0812760565,13269.4095884774,11079.2275833333,3049.41363189301,3144.85307407407,2777.06883333333
2025-06-14,40306.0571333333,0,21615.8536204667,19666.6666666667,10734.36195,5311.838,2777.06883333333,8550
2025-06-15,74855.8743333334,0,45627.7921426983,22333.3333333333,18090,0,8550,8550
2025-06-16,76986.7083537449,0,47475.0843682883,22491.1256337449,18217.8117633333,0,8550,8550
2025-06-17,79045.593098354,0,48822.0758951687,23293.1677983539,18867.4659166667,0,8550,8550
2025-06-18,75099.5033722223,0,45855.3357315989,22056.6972222222,17865.92475,0,8550,8550
2025-06-19,65764.8718796296,0,41623.141411623,15187.027962963,17790.1986166667,0,8550,2451.43781481481
2025-06-20,32537.4354156379,0,17869.1123759714,13233.9900823045,10441.2940333333,7304.42018333334,2451.43781481481,2760.59107407407
2025-06-21,38506.9628166667,0,19921.7949542817,19666.6666666667,10719.5319666667,10292.6193833333,2760.59107407407,8550
2025-06-22,71455.7499711934,0,43460.5013213581,21302.4589711934,17254.9917666667,0,8550,8550
2025-06-23,71304.4450641975,0,43884.3839655204,22361.8108641975,18113.0668,0,8550,8550
2025-06-24,80671.3203800844,0,49799.3597456893,23391.376123251,18947.0146598333,0,8550,8550
2025-06-25,74654.114981572,0,45226.9352255252,21999.299727572,17819.4327793333,0,8550,8550
2025-06-26,65256.0787323169,0,41053.8922943713,14977.4533279835,17407.1867623333,0,8550,2688.38937037037
2025-06-27,31507.5427012346,0,17129.5191348518,13124.1229012346,10654.5504333333,9233.00936666667,2688.38937037037,2661.71061111111
2025-06-28,38375.3344666667,0,19900.1865196333,19666.6666666667,10630.53955,7760.33456666667,2661.71061111111,8550
2025-06-29,73416.7188607325,0,44537.1614341166,21669.0543547325,17551.9340273333,0,8550,8550
2025-06-30,73759.728030679,0,44959.9289106168,21215.8721790123,17184.856465,0,8550,8550
2025-07-01,83024.0685738683,0,51484.2845170914,21908.2344238683,17745.6698833333,0,8550,8550
2025-07-02,76841.031412963,0,47681.47333236,20537.2546296296,16635.17625,0,8550,8550
2025-07-03,78330.5827931255,0,49988.8849855251,16664.4374199589,18257.6135601667,0,8550,3261.75638888889
2025-07-04,41360.6255915638,0,23768.3408989985,13901.1576748971,11170.58075,9760.98953333333,3261.75638888889,3361.04190740741
2025-07-05,47415.1322166667,0,26467.07828301,19666.6666666667,11259.9377166667,10363.6899666667,3361.04190740741,8550
2025-07-06,84133.0494021214,0,52847.5728463511,22968.2079936214,18604.2484748333,0,8550,8550
2025-07-07,77246.8874563786,0,47830.706896616,20144.9808230453,16317.4344666667,0,8550,8550
2025-07-08,79781.8718520576,0,50260.877089223,22118.9465020576,17916.3466666667,0,8550,8550
2025-07-09,78254.661990535,0,48647.0993167966,21913.291090535,17749.7657833333,0,8550,8550
2025-07-10,71771.8698337449,0,46095.92064052,16230.5443004115,17485.9295166667,0,8550,3728.6792962963
2025-07-11,41025.5025833333,0,23549.3121190617,13905.405,11590.8113666667,6281.63846666666,3728.6792962963,3364.8645
2025-07-12,47406.3927833333,0,26495.87320578,19666.6666666667,11263.37805,8016.2475,3364.8645,8550
2025-07-13,73216.6570187243,0,46246.4174167265,20807.2015020576,16853.8332166667,0,8550,8550
2025-07-14,75593.7764722222,0,47412.4666929233,20024.9855555556,16220.2383,0,8550,8550
2025-07-15,76604.1422380658,0,47692.1652440686,20166.3069547325,16334.7086333333,0,8550,8550
2025-07-16,75985.4937606996,0,47559.9479361688,20206.0984773663,16366.9397666667,0,8550,8550
2025-07-17,71017.7796790124,0,45751.8098760631,15857.817345679,17737.6254,0,8550,3113.56294444444
2025-07-18,39507.4965755144,0,22777.2931272003,13023.1182921811,11037.20665,6251.53516666666,3113.56294444444,2570.80646296296
2025-07-19,47070.2839166666,0,26373.283993245,19666.6666666667,10548.7258166667,11004.21235,2570.80646296296,8550
2025-07-20,76061.5077720165,0,47184.3103069981,20630.2959053498,16710.5396833333,0,8550,8550
2025-07-21,78044.6906707819,0,48668.4792490564,21476.2613374486,17395.7716833333,0,8550,8550
2025-07-22,77897.0191658436,0,48391.5836122853,21458.6730658436,17381.5251833333,0,8550,8550
2025-07-23,78389.6170781893,0,49023.8085523371,22086.2454115226,17889.8587833333,0,8550,8550
2025-07-24,71584.537994856,0,45989.7971440239,14631.191394856,16855.6770666667,0,8550,2989.5421812963
2025-07-25,39824.1096977366,0,22821.7776931998,13824.86953107,10971.6073166667,10495.5345833333,2989.5421812963,3241.24996296296
2025-07-26,45868.1627166667,0,25469.3989763967,19666.6666666667,11152.1249666667,9038.61945,3241.24996296296,8550
2025-07-27,77864.8571419754,0,48504.5294620687,22049.5386419753,17860.1263,0,8550,8550
2025-07-28,82078.1756203704,0,51162.4837565461,21551.702037037,17456.87865,0,8550,8550
2025-07-29,80182.9646520412,0,49570.903161524,21711.6510633745,17586.4373613333,0,8550,8550
2025-07-30,78195.3604012346,0,48764.0331120998,21432.1562345679,17360.04655,0,8550,8550
2025-07-31,72403.8662851852,0,46486.4538452945,15545.3885185185,17985.4085,0,8550,2557.06244444444
2025-08-01,39187.7606658436,0,22437.5895976578,13334.7330658436,10536.3562,15112.6841333333,2557.06244444444,2851.25975925926
2025-08-02,44007.3672166667,0,24489.005795205,19000,10801.1337833333,15123.9210666667,2851.25975925926,7950
2025-08-03,67331.9211489712,0,42768.7549974813,20492.0850823045,16058.5889166667,0,7950,8550
2025-08-04,69134.2502843621,0,43638.7127236943,19819.5449176955,16053.8313833333,0,8550,8550
2025-08-05,69064.8886183127,0,43215.7292641441,20280.0555349794,16426.8449833333,0,8550,8550
2025-08-06,71199.5735807942,0,45013.9412111057,19494.2069164609,16330.3076023333,0,8550,7950
2025-08-07,62354.5157162551,0,40569.8833502276,15327.1790329218,16591.5519,0,7950,3309.40346296296
2025-08-08,38271.5678462963,0,21752.9868868769,13784.3062962963,11213.4631166667,19898.7934166667,3309.40346296296,3255.87566666667
2025-08-09,44345.5756166667,0,24414.1234552133,19666.6666666667,11165.2881,17120.8247166667,3255.87566666667,8550
2025-08-10,69015.6537899177,0,43490.8931400086,19543.235473251,15830.0207333333,0,8550,8550
2025-08-11,68504.7990969136,0,43194.7392861438,20760.1619135802,16815.73115,0,8550,8550
2025-08-12,71455.3545266008,0,45237.3570080883,19208.2239119342,15558.6613686667,0,8550,8550
2025-08-13,69738.3553454732,0,43667.3121988346,19221.1976954733,15569.1701333333,0,8550,8550
2025-08-14,64542.2520532922,0,41884.3883443673,15740.7877366255,17280,0,8550,3516.70896296296
2025-08-15,38508.5097792181,0,21853.5102657374,13712.6436625514,11400.0380666667,19056.5823,3516.70896296296,3191.3792962963
2025-08-16,43875.6169919753,0,24320.9095362728,19023.7632253086,11107.2413666667,19137.1464333333,3191.3792962963,7971.38690277778
2025-08-17,67639.7013833333,0,42972.7411073967,21149.44375,16610.29765,0,7971.38690277778,8550
2025-08-18,68373.3069127572,0,43267.751882404,21002.7434294239,17061.7938,0,8550,8494.92041981481
2025-08-19,68159.6881666667,0,43201.0783573084,19798.8148833333,15987.4684333333,0,8494.92041981481,8550
2025-08-20,74689.4458495885,0,46671.9781466384,21523.2356995885,17433.8209166667,0,8550,8550
2025-08-21,63997.484790535,0,41345.6274538538,14053.286090535,16064.5347833333,0,8550,3348.47438888889
2025-08-22,39666.6917794239,0,22974.2571976705,13817.1716460905,11248.62695,15811.6076833333,3348.47438888889,3285.45448148148
2025-08-23,44479.684641358,0,24696.9339087972,19469.149691358,11191.9090333333,13852.7361666667,3285.45448148148,8372.23472222222
2025-08-24,68230.0172170782,0,43622.5305521616,21485.4543004115,17243.2292333333,263.539333333331,8372.23472222222,8550
2025-08-25,74766.6025148148,0,46942.0315122448,21003.8798148148,17013.14265,0,8550,8550
2025-08-26,69519.154390716,0,44064.3514462523,20855.7509160494,16893.158242,0,8550,8550
2025-08-27,72002.4839588477,0,45547.7797897117,21692.9566255144,17571.2948666667,0,8550,8550
2025-08-28,70484.4032701646,0,44838.8630459158,16867.6590534979,17369.3224333333,0,8550,4431.646
2025-08-29,38440.2187952675,0,22274.8271989733,13756.8463786008,12223.4814,14374.5168,4431.646,3231.16174074074
2025-08-30,45153.5379,0,25223.5672894483,19666.6666666667,11143.0455666667,18302.8036333333,3231.16174074074,8550
2025-08-31,70404.097955144,0,44615.6526805977,20415.5543218107,16779.40445,0,8550,8280.2161674074
2025-09-01,57617.8532833333,0,35350.2672296033,19851.8419333333,15837.1865166667,0,8280.2161674074,8550
2025-09-02,57761.9540578189,0,35480.9802335531,20958.5832078189,17280,0,8550,8212.72488703704
2025-09-03,59177.768513786,0,36830.6601431123,19415.355063786,15792.8554666667,0,8212.72488703704,8138.92725925926
2025-09-04,53049.2595806585,0,34294.7047544942,15786.7895473251,16920.8803166667,203.908133333333,8138.92725925926,3546.05972222222
2025-09-05,30382.243827572,0,16068.4970789901,14435.2664609053,11426.45375,20516.0361166667,3546.05972222222,3841.73981481481
2025-09-06,35584.2969666667,0,18252.0224210917,19666.6666666667,11692.5658333333,20027.7174333333,3841.73981481481,8550
2025-09-07,58984.8046355967,0,36075.4840498617,21233.8211522634,17199.3951333333,0,8550,8550
2025-09-08,62540.3074345679,0,38576.5405527777,19665.4012345679,16468.975,0,8550,7950
2025-09-09,59033.6305691358,0,36900.4297038736,21313.8908024691,16724.25155,1296.14371666667,7950,8550
2025-09-10,65440.5254936214,0,39925.6114094635,21633.7991769547,17523.3773333333,0,8550,8550
2025-09-11,53790.7268407407,0,34416.0366710326,16554.5024074074,17280,868.573649999998,8550,4249.05216666667
2025-09-12,31409.6463565844,0,16687.4953360664,14797.9538065844,12059.14695,17072.3283,4249.05216666667,4168.15842592593
2025-09-13,36078.423,0,18761.2755438933,19666.6666666667,11986.3425833333,20554.8291,4168.15842592593,8550
2025-09-14,64123.9780833333,0,39271.0116261417,21333.3333333333,17280,0,8550,8550
2025-09-15,59885.0120923868,0,37405.339480837,21346.4779423868,17290.6471333333,759.210650000001,8550,8550
2025-09-16,63507.4226376543,0,39023.4858853735,21413.3209876543,17344.79,0,8550,8550
2025-09-17,64039.7327573333,0,39362.5429715061,21338.8562666667,17284.473576,0,8550,8550
2025-09-18,58625.3689703704,0,37164.8176853371,16747.997037037,17280.1425166667,0,8550,4423.03898148148
2025-09-19,32245.469395679,0,17240.8182848749,15440.662345679,12215.7350833333,12924.7548166667,4423.03898148148,4746.59611111111
2025-09-20,36190.2412666667,0,18929.8963537717,19666.6666666667,12506.9365,13550.5607,4746.59611111111,8550
2025-09-21,62329.7475802469,0,38411.5444113244,21177.0619135802,17153.42015,0,8550,8550
2025-09-22,64679.6403306584,0,39955.1725604146,21351.8795473251,17295.0224333333,0,8550,8550
2025-09-23,66264.1572816872,0,41280.3067143721,21585.7194650206,17484.4327666667,0,8550,8550
2025-09-24,65033.7451,0,40208.526313465,21333.3333333333,17280,0,8550,8550
2025-09-25,60300.4351127572,0,38238.1532719923,17122.4683127572,17307.4804333333,0,8550,4729.68766666667
2025-09-26,32014.2777020576,0,16908.3032311268,15788.3031687243,12491.7189,10989.2732666667,4729.68766666667,5059.47285185185
