date,buy_kwh,curt_kwh,cost_yuan
2025-03-21,29253.6333452675,14268.8187666667,14603.2671514133
2025-03-22,28819.7739911523,10197.2647,14394.6534433202
2025-03-23,62838.8651166666,0,37692.747248225
2025-03-24,62069.1606794239,0,37398.1419512614
2025-03-25,65037.8188343622,0,39145.3801595173
2025-03-26,59626.1082,0,35928.31292077
2025-03-27,62940.3379965021,0,37708.984605138
2025-03-28,28446.0825942387,14728.6734833333,14055.0074113404
2025-03-29,28410.5340666667,18017.1648833333,14206.6085090433
2025-03-30,59416.4698709877,0,35474.6849647885
2025-03-31,60981.6980460905,0,36338.0076494007
2025-04-01,64225.0843825103,0,37922.4128025444
2025-04-02,64512.7654,0,38320.2637245283
2025-04-03,60097.966909465,0,36063.1276305336
2025-04-04,27313.0837539095,18128.2720166667,13314.8942424897
2025-04-05,27559.5145174897,12924.1616666667,13596.8617300049
2025-04-06,58474.7262666667,0,34785.6857585883
2025-04-07,57246.6684732551,0,33847.6572397723
2025-04-08,58396.08195,0,35199.57217627
2025-04-09,63238.2949230453,0,37231.8198427732
2025-04-10,58685.8695666667,0,35101.5705649033
2025-04-11,27003.3545403292,18994.3687333333,13116.7280422829
2025-04-12,26170.1196520576,14695.66875,12770.4680828434
2025-04-13,58333.3892454732,0,34550.204950179
2025-04-14,56467.1222483334,0,33188.8519669687
2025-04-15,54007.8404843621,0,32454.3690029168
2025-04-16,59660.102282716,0,34984.5589418924
2025-04-17,56919.1081549382,0,33897.1440447997
2025-04-18,25741.8552018518,16788.9029,12261.5022503356
2025-04-19,25534.1560849794,16305.1624666667,12135.2963930094
2025-04-20,55966.5532913333,0,32915.0951352947
2025-04-21,52371.4802837448,0,31149.7628448941
2025-04-22,55977.8246991769,0,32822.382302459
2025-04-23,55280.4097271605,0,32301.4510698101
2025-04-24,51303.8277333333,281.792699999997,30690.5217280617
2025-04-25,24872.211979784,20318.8077833333,11775.2591648485
2025-04-26,25129.5969985597,22748.8725666667,12057.7701556781
2025-04-27,52769.5042479424,348.898033333334,31628.137376963
2025-04-28,60551.9980121399,0,35166.7559063288
2025-04-29,51130.8128820988,140.619133333335,31007.7189917873
2025-04-30,51780.2976343621,0,30525.5763399035
2025-05-01,55697.2423759259,590.868466666671,34288.3870369483
2025-05-02,28725.0208917695,11855.24935,14826.9170970914
2025-05-03,27665.9987613169,16420.5679333333,14154.3976029978
2025-05-04,55263.2046547325,0,33682.3024419635
2025-05-05,59041.4029950617,0,35504.5947134278
2025-05-06,56859.6092504115,0,34327.1673123224
2025-05-07,58964.9782442387,0,35911.5034692163
2025-05-08,59678.6780026749,0,35801.5192353047
2025-05-09,27500.8045335391,16384.5052166667,13956.2471477762
2025-05-10,27265.9505416667,12841.9561833333,13818.945444015
2025-05-11,59096.8107529959,0,35559.7273723107
2025-05-12,55342.4574855967,0,33661.8511752557
2025-05-13,56874.3134977366,0,34107.1893920015
2025-05-14,56649.977263786,0,33991.394490366
2025-05-15,56654.2494374486,0,34150.638069409
2025-05-16,26282.7208540123,21180.8672666667,13076.8333958011
2025-05-17,27041.6815899177,14392.733,13837.226211647
2025-05-18,57452.1895952675,0,33903.4233398329
2025-05-19,51596.7065148148,540.161996296294,31531.8864154752
2025-05-20,58147.3740580247,0,34746.9457883387
2025-05-21,54746.5860921811,0,33457.873335758
2025-05-22,54551.3585286008,0,33045.6201076048
2025-05-23,26197.01221893,17387.3675333333,13051.0670177298
2025-05-24,25933.2276940329,19952.2945333333,12802.5269330735
2025-05-25,51992.0883195473,0,31817.297905849
2025-05-26,58181.7211164609,0,34602.2546389691
2025-05-27,52841.0504853909,0,31968.4787268185
2025-05-28,55943.6385209876,0,33376.8293358234
2025-05-29,58074.6745911667,0,34840.2401729463
2025-05-30,26384.3716076132,17365.8104333333,13254.7252103641
2025-05-31,26111.2940554012,15567.9912833333,12841.9769153711
2025-06-01,75330.97548,0,45891.4287424346
2025-06-02,72866.9231037037,0,45053.0672732424
2025-06-03,72298.3079158436,0,44364.9771838701
2025-06-04,73744.1978158436,0,44802.8048486682
2025-06-05,75545.4118280124,0,46244.2031174436
2025-06-06,35681.8442440329,2166.41933333333,20335.3079036943
2025-06-07,34233.6360691358,720.478366666662,19173.0179257957
2025-06-08,68923.8571944444,0,42464.1268459321
2025-06-09,75178.182558642,0,46396.1613254576
2025-06-10,75886.6220883127,0,46471.0028746715
2025-06-11,80592.9853893004,0,50269.0028349636
2025-06-12,76978.9510559445,0,47517.0397833595
2025-06-13,33957.886826749,3049.413631893,19111.4749217108
2025-06-14,33891.6891703704,5311.838,18941.1266037444
2025-06-15,74855.8743333334,0,45711.408809365
2025-06-16,76979.1724533333,0,47559.074101688
2025-06-17,79021.5578833333,0,48905.7312711816
2025-06-18,75099.5033722222,0,45938.9523982656
2025-06-19,72541.052085391,0,44570.983779088
2025-06-20,32193.9317942387,7304.42018333333,17760.8619880126
2025-06-21,32074.2862323045,10292.6193833333,17239.2519870841
2025-06-22,71455.7499711934,0,43544.1179880247
2025-06-23,71304.4450641975,0,43968.0006321871
2025-06-24,80651.6467401667,0,49883.9503610773
2025-06-25,74654.114981572,0,45310.5518921919
2025-06-26,71768.9794319054,0,43891.5258605524
2025-06-27,31537.1857670782,9233.00936666667,17179.1810712098
2025-06-28,31832.7907012346,7760.33456666667,17170.8305947444
2025-06-29,73416.7188607325,0,44620.7781007833
2025-06-30,73759.728030679,0,45043.5455772835
2025-07-01,83024.0685738683,0,51567.9011837581
2025-07-02,76841.0314129629,0,47765.0899990267
2025-07-03,84206.4090276934,0,52559.09017213
2025-07-04,41250.3083487654,9760.98953333334,23763.7946875396
2025-07-05,41649.6232248971,10363.6899666667,24069.3491610902
2025-07-06,84133.0494021214,0,52931.1895130177
2025-07-07,77246.8874563786,0,47914.3235632826
2025-07-08,79781.8718520576,0,50344.4937558897
2025-07-09,78254.661990535,0,48730.7159834633
2025-07-10,77128.8928378601,0,48447.9916229521
2025-07-11,41429.7412458848,6281.63846666667,23764.5219083374
2025-07-12,41645.1311166667,8016.2475,24099.9572669467
2025-07-13,73216.6570187243,0,46330.0340833932
2025-07-14,75590.158004321,0,47497.9774561352
2025-07-15,76604.1422380659,0,47775.7819107353
2025-07-16,75985.4937606996,0,47643.5646028355
2025-07-17,77058.2652962963,0,48391.1390715322
2025-07-18,40110.5593327161,6251.53516666667,23070.8825000748
2025-07-19,40426.7355421811,11004.21235,23601.0213104302
2025-07-20,76061.5077720165,0,47267.9269736648
2025-07-21,78044.6906707819,0,48752.0959157231
2025-07-22,77897.0191658436,0,48475.200278952
2025-07-23,78389.6170781893,0,49107.4252190038
2025-07-24,77762.8244600823,0,48686.9751354593
2025-07-25,39544.4343847737,10495.5345833333,22743.9874962482
2025-07-26,39969.5515644033,9038.61945,23014.8485421621
2025-07-27,77864.8571419753,0,48588.1461287354
2025-07-28,82078.1756203703,0,51246.1004232128
2025-07-29,80182.9646520411,0,49654.5198281906
2025-07-30,78195.3604012346,0,48847.6497787664
2025-07-31,79062.685791358,0,49385.1690239118
2025-08-01,38860.8747604938,15112.6841333333,22336.9021303944
2025-08-02,38342.1002825103,15123.9210666667,22132.6700076803
2025-08-03,66665.2544823046,0,42561.6695105995
2025-08-04,69134.2502843622,0,43722.329390361
2025-08-05,69064.8886183127,0,43299.3459308108
2025-08-06,71866.2402474609,0,45380.7578777723
2025-08-07,67510.7340907407,0,42830.4106363433
2025-08-08,38331.0431755144,19898.7934166667,21820.0954796238
2025-08-09,38463.2152462963,17120.8247166667,21966.5104797689
2025-08-10,69015.6537899177,0,43574.5098066753
2025-08-11,68504.7990969136,0,43278.3559528104
2025-08-12,71455.3545266008,0,45320.9736747549
2025-08-13,69738.3553454732,0,43750.9288655013
2025-08-14,70134.79765,0,44335.5907860217
2025-08-15,38869.9871866255,19056.5823,22049.0495651778
2025-08-16,38564.4974292181,19137.1464333333,22115.8091643715
2025-08-17,66996.7979419753,0,42779.439732747
2025-08-18,68432.7949186729,0,43379.3783809691
2025-08-19,68098.4886331276,0,43258.3119050663
2025-08-20,74689.4458495885,0,46755.5948133051
2025-08-21,69776.9576917695,0,43875.3835111254
2025-08-22,39736.7138987654,15811.6076833333,23046.1015591046
2025-08-23,38827.7065960905,13852.7361666667,22347.2563622911
2025-08-24,68032.5002417695,263.539333333333,43620.9976507727
2025-08-25,74766.6025148148,0,47025.6481789115
2025-08-26,69513.9206413333,0,44150.7077328064
2025-08-27,72002.4839588477,0,45631.3964563783
2025-08-28,75060.3521590535,0,46861.8968103603
2025-08-29,39774.0901944444,14374.5168,22886.02439057
2025-08-30,39243.7176119341,18302.8036333333,22764.2316751397
2025-08-31,70703.8577691358,0,44826.6073162482
2025-09-01,57318.0934693415,0,35304.6574404581
2025-09-02,58136.7041833333,0,35723.7907535383
2025-09-03,59257.6041744856,0,36947.8799136841
2025-09-04,58149.9016602881,203.908133333335,36536.6086831019
2025-09-05,30053.710391358,20516.0361166667,15974.1291004407
2025-09-06,30352.8967609053,20027.7174333333,16082.391393211
2025-09-07,58984.8046355967,0,36159.1007165284
2025-09-08,63206.9741012346,0,38943.3572194444
2025-09-09,58366.9639024691,1296.14371666667,36696.1557660773
2025-09-10,65440.5254936214,0,40009.2280761301
2025-09-11,58569.5577666667,868.573650000003,36524.6866551067
2025-09-12,31499.5282907407,17072.3283,16774.0866739861
2025-09-13,31209.7101399177,20554.8291,16746.5482813522
2025-09-14,64123.9780833333,0,39354.6282928083
2025-09-15,59882.5146166667,759.210650000004,37490.2634577417
2025-09-16,63507.4226376543,0,39107.1025520402
2025-09-17,64039.7327573333,0,39446.1596381728
2025-09-18,63210.8477833333,0,39191.9046840667
2025-09-19,31885.9614738683,12924.7548166667,17138.8112782082
2025-09-20,31964.236945679,13550.5607,17189.7306411791
2025-09-21,62329.7475802469,0,38495.1610779911
2025-09-22,64676.11655,0,40040.63375934
2025-09-23,66264.1572816872,0,41363.9233810388
2025-09-24,65033.7451,0,40292.1429801317
2025-09-25,64538.7805666667,0,40124.8128006067
2025-09-26,31647.8497185185,10989.2732666667,16804.9409243161
2025-09-27,33330.9172687243,12700.39575,18195.7544948588
2025-09-28,67536.5425915638,0,41640.5087464438
2025-09-29,66805.7218703704,0,41561.8109439928
2025-09-30,69674.547045393,0,43476.0821059053
2025-10-01,56358.3822666667,2663.9374,34268.05594155
2025-10-02,56598.4353333333,623.433883333335,34414.9545869617
2025-10-03,28784.6729176955,18033.1904833333,14400.3401115345
2025-10-04,30233.8595880658,14238.4666166667,15247.701421595
2025-10-05,58796.0827333333,0,35778.3313010833
2025-10-06,61799.99925,0,37641.6741823767
2025-10-07,61796.9913333333,0,37642.7512196883
2025-10-08,60536.2023333333,0,36883.08584412
2025-10-09,59971.9050166667,0,36959.3305652767
2025-10-10,30703.9601802469,18323.73135,15626.7271227243
2025-10-11,30677.8508537037,13585.9585833333,15689.4390303731
2025-10-12,62562.4093166666,0,38140.32237125
2025-10-13,61121.2855652263,0,37633.5920406061
2025-10-14,64809.2876166666,0,39885.0209872933
2025-10-15,66009.4552279835,0,40195.4146687625
2025-10-16,67250.0552506173,0,41532.6435876391
2025-10-17,31027.4509950617,11872.1253833333,15861.3102571786
2025-10-18,31069.1398888889,12061.3292333333,15877.2569811122
2025-10-19,68041.1032841564,0,42059.0043591249
2025-10-20,68640.2141491769,0,42287.4279772203
2025-10-21,70736.6516617284,0,43217.7065673511
2025-10-22,69764.3841716049,0,43122.8210201409
2025-10-23,67668.5773699588,0,41713.0756042855
2025-10-24,32672.0499504115,10930.7005666667,16966.480310878
2025-10-25,31976.1865827161,9530.84308333333,16582.7703706555
2025-10-26,68656.6001049383,0,42116.7269137243
2025-10-27,67708.953091358,0,42160.444842533
2025-10-28,70186.219573251,0,43293.8687877964
2025-10-29,73665.1258654321,0,45594.1974354885
2025-10-30,69104.420563786,0,42815.1873494344
2025-10-31,33126.3305893004,5879.5668,17297.2484585733
2025-11-01,32764.3695333333,7082.82443333333,16939.8697994783
2025-11-02,73190.1283495,0,45367.646536565
2025-11-03,73774.579740535,0,45355.1658968731
2025-11-04,71881.7681368313,0,44643.7479453853
2025-11-05,74052.2305150206,0,45808.3887972719
2025-11-06,75789.945573251,0,47151.8967537724
2025-11-07,34018.3201679013,7227.33575864197,17600.172718876
2025-11-08,33139.9129788066,6103.91506666667,17209.08320612
2025-11-09,75757.9689944444,0,47104.5913504478
2025-11-10,78299.1762609054,0,48874.66345537
2025-11-11,75842.9577778333,0,47327.7970972781
2025-11-12,75389.5719462963,0,47109.2096197324
2025-11-13,77002.8249433333,0,47896.8053169193
2025-11-14,34194.9149238683,3180.6119,17986.4980191
2025-11-15,34581.0504510288,2972.67993662552,18023.6974012308
2025-11-16,78808.944960288,0,49425.1652959818
2025-11-17,77176.056323251,0,48188.5350195509
2025-11-18,79267.5220505,0,49423.3024432062
2025-11-19,79766.960219,0,50065.7114725738
2025-11-20,79401.3201853334,0,49753.6999846883
2025-11-21,35191.8569084362,2743.98350020576,18371.4426879917
2025-11-22,35548.4504506173,1914.76458333333,18611.4359581272
2025-11-23,79605.3786473251,0,50027.8829025394
2025-11-24,78624.5826238333,0,49191.8658063932
2025-11-25,80614.1646471666,0,50515.1049459249
2025-11-26,81211.8099306585,0,50995.7404084362
2025-11-27,80424.9368353662,0,50556.1296454657
2025-11-28,35754.756305144,1225.45786666667,18833.2196180446
2025-11-29,38454.2834786008,0,19882.8351524131
2025-11-30,84862.9202226337,0,53543.4561203857
2025-12-01,90980.5877333333,0,57973.4924904483
2025-12-02,93421.27995,0,59766.5499734917
2025-12-03,91841.1568999999,0,58236.92058608
2025-12-04,91635.3325076131,0,58499.558495652
2025-12-05,45318.9107024691,0,23458.5225023863
2025-12-06,47598.2758166667,0,24640.7287966033
2025-12-07,92368.9745833334,0,58909.420391135
2025-12-08,92570.9777833333,0,58957.71134572
2025-12-09,92120.1976,0,59081.825449005
2025-12-10,93051.9001333333,0,59160.13256234
2025-12-11,90843.9276977366,0,57733.9560767692
2025-12-12,47725.4134833333,0,24630.5626567283
2025-12-13,47717.8448977366,0,24639.4151420178
2025-12-14,93475.8434666667,0,59733.597345305
2025-12-15,94234.9446333333,0,60099.7790962283
2025-12-16,94096.393,0,60122.100653125
2025-12-17,92948.5137333333,0,59118.8196028833
2025-12-18,92241.1636333333,0,59006.8627127317
2025-12-19,46943.516917284,0,24461.3452787246
2025-12-20,46783.4675919753,0,24294.219565427
2025-12-21,93740.9268666666,0,59797.992382615
2025-12-22,93641.8254166666,0,59871.4163414884
2025-12-23,91971.1825333333,0,58529.68958647
2025-12-24,92573.9309833333,0,59295.7513042717
2025-12-25,92732.8402,0,59062.4970059033
2025-12-26,47059.5311790124,0,24377.5030429331
2025-12-27,47250.8407333333,0,24477.5748254083
2025-12-28,91428.6087845679,0,58226.2350854822
2025-12-29,92200.2629333334,0,58508.56691863
2025-12-30,90832.1809333333,0,57881.894346185
2025-12-31,93272.3212666666,0,59646.656436885
