prod_code,w_date,w_price
102900011034262,2020-07-01,1.42
102900011034439,2020-07-01,2.42
102900011035078,2020-07-01,8.69
102900011036242,2020-07-01,2.72
102900051004294,2020-07-01,6.81
102900005115250,2020-07-01,14
102900005116530,2020-07-01,10.8
102900005116547,2020-07-01,4.06
102900005116837,2020-07-01,8
102900005116912,2020-07-01,8.16
102900005117353,2020-07-01,1
102900005119098,2020-07-01,14.74
102900005119104,2020-07-01,2.5
102900005119944,2020-07-01,10.29
102900005125815,2020-07-01,6.16
102900011001806,2020-07-01,3.1
102900011001813,2020-07-01,1.63
102900011007044,2020-07-01,2.58
102900011008577,2020-07-01,4.36
102900011009246,2020-07-01,7.64
102900011010563,2020-07-01,80
102900011011058,2020-07-01,65.98
102900011011546,2020-07-01,1.7
102900011011669,2020-07-01,9.95
102900011011782,2020-07-01,2.5
102900011012482,2020-07-01,5.62
102900011012871,2020-07-01,65.41
102900011012994,2020-07-01,2.94
102900011013274,2020-07-01,3.75
102900011018095,2020-07-01,4.14
102900011021675,2020-07-01,40.67
102900011021699,2020-07-01,16.26
102900011023075,2020-07-01,3
102900011026793,2020-07-01,2.95
102900011030561,2020-07-01,12.58
102900011030608,2020-07-01,6.32
102900011030615,2020-07-01,10.52
102900011030622,2020-07-01,14.32
102900011030639,2020-07-01,15.51
102900011030912,2020-07-01,5.06
102900011030929,2020-07-01,1.48
102900011031599,2020-07-01,1.44
102900011031841,2020-07-01,5.21
102900011031858,2020-07-01,0.1
102900011031926,2020-07-01,2.26
102900011031995,2020-07-01,1.61
102900011032619,2020-07-01,11.18
102900011032626,2020-07-01,7.35
102900011032633,2020-07-01,8.15
102900011032640,2020-07-01,9.68
102900011033937,2020-07-01,4.69
102900011033944,2020-07-01,6.51
102900011033968,2020-07-01,12.6
102900011034330,2020-07-01,3.6
102900011034538,2020-07-01,3.25
102900011034705,2020-07-01,6.7
102900011035740,2020-07-01,7.11
102900011035788,2020-07-01,2.72
102900011036068,2020-07-01,2.85
102900011036266,2020-07-01,3.39
102900051009336,2020-07-01,16.87
106930274220092,2020-07-01,2.1
106930274620090,2020-07-01,2.8
106931885000035,2020-07-01,7.89
106931885000356,2020-07-01,8.14
106949711300068,2020-07-01,2.46
106949711300167,2020-07-01,1.97
106949711300259,2020-07-01,2.58
106956146480197,2020-07-01,2.07
106956146480203,2020-07-01,1.96
106957634300010,2020-07-01,1.5
106957634300058,2020-07-01,1.7
106958851400125,2020-07-01,2.58
106971533450003,2020-07-01,2.67
106971533455008,2020-07-01,2
106973223300667,2020-07-01,5
106973990980123,2020-07-01,1.5
102900005115168,2020-07-02,3
102900005115199,2020-07-02,32.54
102900005115625,2020-07-02,2.6
102900005115748,2020-07-02,1.64
102900005115762,2020-07-02,3.93
102900005115779,2020-07-02,4.23
102900005115786,2020-07-02,3.18
102900005115793,2020-07-02,9.19
102900005115816,2020-07-02,4.59
102900005115823,2020-07-02,7.03
102900005115854,2020-07-02,2.53
102900005115861,2020-07-02,2.01
102900005115878,2020-07-02,7.6
102900005115885,2020-07-02,15
102900005115908,2020-07-02,4.52
102900005115946,2020-07-02,4.23
102900005115960,2020-07-02,2.1
102900005115977,2020-07-02,3.16
102900005115984,2020-07-02,3.58
102900005116639,2020-07-02,8.09
102900005116776,2020-07-02,1
102900005116790,2020-07-02,3.97
102900005116806,2020-07-02,1.01
102900005118572,2020-07-02,3.6
102900005118817,2020-07-02,7.88
102900005118831,2020-07-02,4.11
102900005119975,2020-07-02,3.6
102900005122654,2020-07-02,10.23
102900005128748,2020-07-02,5
102900011000175,2020-07-02,4.7
102900011000571,2020-07-02,2
102900011002414,2020-07-02,6.01
102900011006689,2020-07-02,6.83
102900011006948,2020-07-02,11.75
102900011006955,2020-07-02,5
102900011007464,2020-07-02,9.18
102900011007471,2020-07-02,9.11
102900011007495,2020-07-02,3.93
102900011008133,2020-07-02,14.98
102900011008164,2020-07-02,4.68
102900011008485,2020-07-02,3.93
102900011008492,2020-07-02,4.31
102900011008515,2020-07-02,5.63
102900011008522,2020-07-02,4.44
102900011008676,2020-07-02,4
102900011015384,2020-07-02,30.8
102900011015391,2020-07-02,2
102900011021644,2020-07-02,4.7
102900011022849,2020-07-02,2.4
102900011022924,2020-07-02,1.4
102900011023464,2020-07-02,5.02
102900011026502,2020-07-02,11
102900011026618,2020-07-02,2.41
102900011027462,2020-07-02,5.52
102900011027615,2020-07-02,6.3
102900011029688,2020-07-02,3.6
102900011030042,2020-07-02,1.95
102900011030059,2020-07-02,2.38
102900011030097,2020-07-02,2.64
102900011030103,2020-07-02,0.86
102900011030110,2020-07-02,1.33
102900011030134,2020-07-02,1.15
102900011030141,2020-07-02,1.14
102900011030158,2020-07-02,0.99
102900011030400,2020-07-02,73.5
102900011030417,2020-07-02,141
102900011030905,2020-07-02,1.46
102900011031216,2020-07-02,6.11
102900011032176,2020-07-02,1.83
102900011032282,2020-07-02,2.5
102900011032480,2020-07-02,25.96
102900011032589,2020-07-02,4.02
102900011032787,2020-07-02,6.93
102900011033081,2020-07-02,3.24
102900011033173,2020-07-02,11.14
102900011033234,2020-07-02,2.15
102900011033241,2020-07-02,2.32
102900011033531,2020-07-02,12
102900011033562,2020-07-02,11.98
102900011033586,2020-07-02,11.98
102900011033906,2020-07-02,2.04
102900011033920,2020-07-02,4.4
102900011034200,2020-07-02,0.84
102900011034217,2020-07-02,5.11
102900011034224,2020-07-02,0.59
102900011034231,2020-07-02,0.94
102900011034316,2020-07-02,4.21
102900011034323,2020-07-02,15.7
102900011034354,2020-07-02,3.3
102900011035481,2020-07-02,5.1
102900011035764,2020-07-02,4.36
102900011035771,2020-07-02,3.5
102900011035849,2020-07-02,4.17
102900011036686,2020-07-02,3.25
102900051000890,2020-07-02,3.99
102900051009220,2020-07-02,5.39
102900051010455,2020-07-02,4.76
102900051010790,2020-07-02,10
106971563780002,2020-07-02,2.87
106972776821582,2020-07-02,3.23
102900005116714,2020-07-02,8.9
102900011000632,2020-07-02,7.29
102900011009970,2020-07-02,5.52
102900011033913,2020-07-02,12.27
102900011034026,2020-07-02,4.64
102900005116042,2020-07-02,7
102900005116899,2020-07-02,9
102900005118824,2020-07-02,5.76
102900011001561,2020-07-02,1.44
102900011001691,2020-07-02,8.18
102900011007969,2020-07-02,5.3
102900011009277,2020-07-02,4.48
102900011010891,2020-07-02,10.22
102900011018132,2020-07-02,9.76
102900011021842,2020-07-02,7.5
102900011023976,2020-07-02,4.26
102900011024010,2020-07-02,15
102900011032114,2020-07-02,4.28
102900011032732,2020-07-02,9.68
102900011034569,2020-07-02,8.5
102900011035511,2020-07-02,4.8
102900011035962,2020-07-02,6.05
102900051000944,2020-07-02,29.54
102900051006229,2020-07-02,2.88
102900005116257,2020-07-02,3.72
102900005116509,2020-07-02,1.46
102900011000335,2020-07-02,6.11
102900011009444,2020-07-02,8.1
102900011016909,2020-07-02,10.17
102900011022764,2020-07-02,10.32
102900011033975,2020-07-02,3.81
102900011033982,2020-07-02,5.06
102900011033999,2020-07-02,6.19
102900051000463,2020-07-02,5.54
102900005116219,2020-07-02,8.43
102900005116226,2020-07-02,4.57
102900005116233,2020-07-02,5.71
102900005116905,2020-07-02,10
102900005116943,2020-07-02,7.27
102900005117056,2020-07-02,4.48
102900005117209,2020-07-02,7.33
102900005119968,2020-07-02,4.15
102900005123880,2020-07-02,6.46
102900005125808,2020-07-02,12.13
102900011000328,2020-07-02,7.1
102900011000861,2020-07-02,7.2
102900011001219,2020-07-02,8.24
102900011009772,2020-07-02,20
102900011016701,2020-07-02,6.64
102900011022030,2020-07-02,2.4
102900011023648,2020-07-02,0.33
102900011027479,2020-07-02,4.78
102900011028407,2020-07-02,7.04
102900011029176,2020-07-02,4.52
102900011029275,2020-07-02,13
102900011029299,2020-07-02,13
102900011029305,2020-07-02,16.94
102900011031100,2020-07-02,4.54
102900011031582,2020-07-02,1.42
102900011031735,2020-07-02,2.8
102900011031742,2020-07-02,1.65
102900011031759,2020-07-02,2.56
102900011032022,2020-07-02,2.26
102900011032145,2020-07-02,1.55
102900011032206,2020-07-02,2.54
102900011032213,2020-07-02,4.36
102900011032220,2020-07-02,5.7
102900011032237,2020-07-02,2.78
102900011032244,2020-07-02,3.46
102900011032251,2020-07-02,2.39
102900011032343,2020-07-02,9.14
102900011032350,2020-07-02,6.98
102900011032367,2020-07-02,11.83
102900011032848,2020-07-02,2.29
102900011034262,2020-07-02,1.42
102900011034439,2020-07-02,2.42
102900011035078,2020-07-02,8.69
102900011036242,2020-07-02,2.72
102900051004294,2020-07-02,6.85
102900005115250,2020-07-02,14
102900005116530,2020-07-02,10.8
102900005116547,2020-07-02,4.05
102900005116837,2020-07-02,8
102900005116912,2020-07-02,8.05
102900005117353,2020-07-02,1
102900005119098,2020-07-02,14.74
102900005119104,2020-07-02,2.5
102900005119944,2020-07-02,10.13
102900005125815,2020-07-02,6.15
102900011001806,2020-07-02,3.1
102900011001813,2020-07-02,1.63
102900011007044,2020-07-02,2.58
102900011008577,2020-07-02,4.36
102900011009246,2020-07-02,7.64
102900011010563,2020-07-02,80
102900011011058,2020-07-02,65.98
102900011011546,2020-07-02,1.7
102900011011669,2020-07-02,9.95
102900011011782,2020-07-02,2.5
102900011012482,2020-07-02,5.62
102900011012871,2020-07-02,65.41
102900011012994,2020-07-02,2.94
102900011013274,2020-07-02,3.75
102900011018095,2020-07-02,4.14
102900011021675,2020-07-02,40.67
102900011021699,2020-07-02,16.26
102900011023075,2020-07-02,3
102900011026793,2020-07-02,2.95
102900011030561,2020-07-02,12.58
102900011030608,2020-07-02,6.32
102900011030615,2020-07-02,10.52
102900011030622,2020-07-02,14.32
102900011030639,2020-07-02,15.51
102900011030912,2020-07-02,5.06
102900011030929,2020-07-02,1.48
102900011031599,2020-07-02,1.44
102900011031841,2020-07-02,5.21
102900011031858,2020-07-02,0.1
102900011031926,2020-07-02,2.26
102900011031995,2020-07-02,1.61
102900011032619,2020-07-02,11.18
102900011032626,2020-07-02,7.35
102900011032633,2020-07-02,8.15
102900011032640,2020-07-02,9.68
102900011033937,2020-07-02,4.69
102900011033944,2020-07-02,6.51
102900011033968,2020-07-02,12.6
102900011034330,2020-07-02,3.6
102900011034538,2020-07-02,3.25
102900011034705,2020-07-02,6.7
102900011035740,2020-07-02,7.11
102900011035788,2020-07-02,2.72
102900011036068,2020-07-02,2.85
102900011036266,2020-07-02,3.39
102900051009336,2020-07-02,16.87
106930274220092,2020-07-02,2.1
106930274620090,2020-07-02,2.8
106931885000035,2020-07-02,7.89
106931885000356,2020-07-02,8.14
106949711300068,2020-07-02,2.46
106949711300167,2020-07-02,1.97
106949711300259,2020-07-02,2.58
106956146480197,2020-07-02,2.07
106956146480203,2020-07-02,1.96
106957634300010,2020-07-02,1.5
106957634300058,2020-07-02,1.7
106958851400125,2020-07-02,2.58
106971533450003,2020-07-02,2.67
106971533455008,2020-07-02,2
106973223300667,2020-07-02,5
106973990980123,2020-07-02,1.5
102900005115168,2020-07-03,3
102900005115199,2020-07-03,32.54
102900005115625,2020-07-03,2.6
102900005115748,2020-07-03,1.64
102900005115762,2020-07-03,3.57
102900005115779,2020-07-03,4.61
102900005115786,2020-07-03,3.79
102900005115793,2020-07-03,9.2
102900005115816,2020-07-03,4.59
102900005115823,2020-07-03,6.76
102900005115854,2020-07-03,2.53
102900005115861,2020-07-03,2.01
102900005115878,2020-07-03,7.6
102900005115885,2020-07-03,15
102900005115908,2020-07-03,3.89
102900005115946,2020-07-03,4.3
102900005115960,2020-07-03,2.11
102900005115977,2020-07-03,3.16
102900005115984,2020-07-03,3.75
102900005116639,2020-07-03,8.09
102900005116776,2020-07-03,1
102900005116790,2020-07-03,3.98
102900005116806,2020-07-03,1.01
102900005118572,2020-07-03,3.6
102900005118817,2020-07-03,7.88
102900005118831,2020-07-03,4.05
102900005119975,2020-07-03,3.6
102900005122654,2020-07-03,10.23
102900005128748,2020-07-03,5
102900011000175,2020-07-03,4.7
102900011000571,2020-07-03,2
102900011002414,2020-07-03,6.01
102900011006689,2020-07-03,6.88
102900011006948,2020-07-03,11.75
102900011006955,2020-07-03,5
102900011007464,2020-07-03,9.18
102900011007471,2020-07-03,9.11
102900011007495,2020-07-03,3.93
102900011008133,2020-07-03,14.98
102900011008164,2020-07-03,4.68
102900011008485,2020-07-03,3.93
102900011008492,2020-07-03,4.31
102900011008515,2020-07-03,5.63
102900011008522,2020-07-03,4.47
102900011008676,2020-07-03,4
102900011015384,2020-07-03,30.8
102900011015391,2020-07-03,2
102900011021644,2020-07-03,4.7
102900011022849,2020-07-03,2.4
102900011022924,2020-07-03,1.4
102900011023464,2020-07-03,5.02
102900011026502,2020-07-03,11
102900011026618,2020-07-03,2.41
102900011027462,2020-07-03,5.52
102900011027615,2020-07-03,6.3
102900011029688,2020-07-03,3.6
102900011030042,2020-07-03,1.95
102900011030059,2020-07-03,2.38
102900011030097,2020-07-03,2.64
102900011030103,2020-07-03,0.86
102900011030110,2020-07-03,1.33
102900011030134,2020-07-03,1.15
102900011030141,2020-07-03,1.14
102900011030158,2020-07-03,0.99
102900011030400,2020-07-03,73.5
102900011030417,2020-07-03,141
102900011030905,2020-07-03,1.46
102900011031216,2020-07-03,6.11
102900011032176,2020-07-03,1.83
102900011032282,2020-07-03,2.5
102900011032480,2020-07-03,25.96
102900011032589,2020-07-03,4.02
102900011032787,2020-07-03,6.93
102900011033081,2020-07-03,3.24
102900011033173,2020-07-03,11.14
102900011033234,2020-07-03,2.15
102900011033241,2020-07-03,2.32
102900011033531,2020-07-03,12
102900011033562,2020-07-03,11.98
102900011033586,2020-07-03,11.98
102900011033906,2020-07-03,2.04
102900011033920,2020-07-03,4.4
102900011034200,2020-07-03,0.84
102900011034217,2020-07-03,5.11
102900011034224,2020-07-03,0.59
102900011034231,2020-07-03,0.94
102900011034316,2020-07-03,4.21
102900011034323,2020-07-03,15.7
102900011034354,2020-07-03,3.3
102900011035481,2020-07-03,5.1
102900011035764,2020-07-03,4.36
102900011035771,2020-07-03,3.5
102900011035849,2020-07-03,4.17
102900011036686,2020-07-03,3.25
102900051000890,2020-07-03,3.99
102900051009220,2020-07-03,5.39
102900051010455,2020-07-03,4.74
102900051010790,2020-07-03,10
106971563780002,2020-07-03,2.87
106972776821582,2020-07-03,3.23
102900005116714,2020-07-03,8.97
102900011000632,2020-07-03,7.29
102900011009970,2020-07-03,4.81
102900011033913,2020-07-03,12.27
102900011034026,2020-07-03,4.64
102900005116042,2020-07-03,7
102900005116899,2020-07-03,9
102900005118824,2020-07-03,5.61
102900011001561,2020-07-03,1.44
102900011001691,2020-07-03,8.18
102900011007969,2020-07-03,5.3
102900011009277,2020-07-03,4.48
102900011010891,2020-07-03,10.22
102900011018132,2020-07-03,9.76
102900011021842,2020-07-03,7.5
102900011023976,2020-07-03,4.26
102900011024010,2020-07-03,15
102900011032114,2020-07-03,4.28
102900011032732,2020-07-03,9.68
102900011034569,2020-07-03,8.5
102900011035511,2020-07-03,4.8
102900011035962,2020-07-03,6.05
102900051000944,2020-07-03,27.51
102900051006229,2020-07-03,2.88
102900005116257,2020-07-03,6.56
102900005116509,2020-07-03,1.48
102900011000335,2020-07-03,6.11
102900011009444,2020-07-03,8.1
102900011016909,2020-07-03,10.17
102900011022764,2020-07-03,10.32
102900011033975,2020-07-03,3.81
102900011033982,2020-07-03,5.06
102900011033999,2020-07-03,6.19
102900051000463,2020-07-03,5.54
102900005116219,2020-07-03,8.43
102900005116226,2020-07-03,4.42
102900005116233,2020-07-03,5.7
102900005116905,2020-07-03,10
102900005116943,2020-07-03,6.75
102900005117056,2020-07-03,5.31
102900005117209,2020-07-03,6.21
102900005119968,2020-07-03,4.15
102900005123880,2020-07-03,6.23
102900005125808,2020-07-03,12.2
102900011000328,2020-07-03,6.58
102900011000861,2020-07-03,7.2
102900011001219,2020-07-03,7
102900011009772,2020-07-03,20
102900011016701,2020-07-03,6.64
102900011022030,2020-07-03,2.4
102900011023648,2020-07-03,0.33
102900011027479,2020-07-03,4.78
102900011028407,2020-07-03,7.04
102900011029176,2020-07-03,4.52
102900011029275,2020-07-03,13
102900011029299,2020-07-03,13
102900011029305,2020-07-03,16.94
102900011031100,2020-07-03,4.54
102900011031582,2020-07-03,1.42
102900011031735,2020-07-03,2.8
102900011031742,2020-07-03,1.65
102900011031759,2020-07-03,2.56
102900011032022,2020-07-03,2.26
102900011032145,2020-07-03,1.55
102900011032206,2020-07-03,2.54
102900011032213,2020-07-03,4.36
102900011032220,2020-07-03,5.7
102900011032237,2020-07-03,2.78
102900011032244,2020-07-03,3.46
102900011032251,2020-07-03,2.39
102900011032343,2020-07-03,9.14
102900011032350,2020-07-03,6.98
102900011032367,2020-07-03,11.83
102900011032848,2020-07-03,2.29
102900011034262,2020-07-03,1.42
102900011034439,2020-07-03,2.42
102900011035078,2020-07-03,8.69
102900011036242,2020-07-03,2.72
102900051004294,2020-07-03,8.07
102900005115250,2020-07-03,14
102900005116530,2020-07-03,10.8
102900005116547,2020-07-03,4.05
102900005116837,2020-07-03,8
102900005116912,2020-07-03,7.9
102900005117353,2020-07-03,1
102900005119098,2020-07-03,14.74
102900005119104,2020-07-03,2.5
102900005119944,2020-07-03,10.05
102900005125815,2020-07-03,6.32
102900011001806,2020-07-03,3.1
102900011001813,2020-07-03,1.63
102900011007044,2020-07-03,2.58
102900011008577,2020-07-03,4.36
102900011009246,2020-07-03,7.64
102900011010563,2020-07-03,80
102900011011058,2020-07-03,65.98
102900011011546,2020-07-03,1.7
102900011011669,2020-07-03,9.95
102900011011782,2020-07-03,2.5
102900011012482,2020-07-03,5.62
102900011012871,2020-07-03,65.41
102900011012994,2020-07-03,2.94
102900011013274,2020-07-03,3.75
102900011018095,2020-07-03,4.14
102900011021675,2020-07-03,40.67
102900011021699,2020-07-03,16.26
102900011023075,2020-07-03,3
102900011026793,2020-07-03,2.95
102900011030561,2020-07-03,12.58
102900011030608,2020-07-03,6.32
102900011030615,2020-07-03,10.52
102900011030622,2020-07-03,14.32
102900011030639,2020-07-03,15.51
102900011030912,2020-07-03,5.06
102900011030929,2020-07-03,1.48
102900011031599,2020-07-03,1.44
102900011031841,2020-07-03,5.21
102900011031858,2020-07-03,0.1
102900011031926,2020-07-03,2.26
102900011031995,2020-07-03,1.61
102900011032619,2020-07-03,11.18
102900011032626,2020-07-03,7.35
102900011032633,2020-07-03,8.15
102900011032640,2020-07-03,9.68
102900011033937,2020-07-03,4.69
102900011033944,2020-07-03,6.51
102900011033968,2020-07-03,12.6
102900011034330,2020-07-03,3.6
102900011034538,2020-07-03,3.25
102900011034705,2020-07-03,6.7
102900011035740,2020-07-03,7.11
102900011035788,2020-07-03,2.72
102900011036068,2020-07-03,2.85
102900011036266,2020-07-03,3.39
102900051009336,2020-07-03,16.87
106930274220092,2020-07-03,2.1
106930274620090,2020-07-03,2.8
106931885000035,2020-07-03,7.89
106931885000356,2020-07-03,8.14
106949711300068,2020-07-03,2.46
106949711300167,2020-07-03,1.97
106949711300259,2020-07-03,2.58
106956146480197,2020-07-03,2.07
106956146480203,2020-07-03,1.96
106957634300010,2020-07-03,1.5
106957634300058,2020-07-03,1.7
106958851400125,2020-07-03,2.58
106971533450003,2020-07-03,2.67
106971533455008,2020-07-03,2
106973223300667,2020-07-03,5
106973990980123,2020-07-03,1.5
102900005115168,2020-07-04,3
102900005115199,2020-07-04,32.54
102900005115625,2020-07-04,2.6
102900005115748,2020-07-04,1.64
102900005115762,2020-07-04,3.525
102900005115779,2020-07-04,5.77
102900005115786,2020-07-04,3.46
102900005115793,2020-07-04,9.16
102900005115816,2020-07-04,4.59
102900005115823,2020-07-04,6.56
102900005115854,2020-07-04,2.53
102900005115861,2020-07-04,2.01
102900005115878,2020-07-04,7.6
102900005115885,2020-07-04,15
102900005115908,2020-07-04,3.53
102900005115946,2020-07-04,4.28
102900005115960,2020-07-04,2.21
102900005115977,2020-07-04,3.16
102900005115984,2020-07-04,3.75
102900005116639,2020-07-04,8.09
102900005116776,2020-07-04,1
102900005116790,2020-07-04,4.01
102900005116806,2020-07-04,1.01
102900005118572,2020-07-04,3.6
102900005118817,2020-07-04,7.88
102900005118831,2020-07-04,4.09
102900005119975,2020-07-04,3.6
102900005122654,2020-07-04,10.23
102900005128748,2020-07-04,5
102900011000175,2020-07-04,4.7
102900011000571,2020-07-04,2
102900011002414,2020-07-04,6.01
102900011006689,2020-07-04,7.21
102900011006948,2020-07-04,10.89
102900011006955,2020-07-04,5
102900011007464,2020-07-04,9.18
102900011007471,2020-07-04,9.11
102900011007495,2020-07-04,3.93
102900011008133,2020-07-04,14.98
102900011008164,2020-07-04,4.68
102900011008485,2020-07-04,3.93
102900011008492,2020-07-04,4.31
102900011008515,2020-07-04,5.63
102900011008522,2020-07-04,4.44
102900011008676,2020-07-04,4
102900011015384,2020-07-04,30.8
102900011015391,2020-07-04,2
102900011021644,2020-07-04,4.7
102900011022849,2020-07-04,2.4
102900011022924,2020-07-04,1.4
102900011023464,2020-07-04,5.02
102900011026502,2020-07-04,11
102900011026618,2020-07-04,2.41
102900011027462,2020-07-04,5.52
102900011027615,2020-07-04,6.3
102900011029688,2020-07-04,3.6
102900011030042,2020-07-04,1.95
102900011030059,2020-07-04,2.38
102900011030097,2020-07-04,2.64
102900011030103,2020-07-04,0.86
102900011030110,2020-07-04,1.33
102900011030134,2020-07-04,1.15
102900011030141,2020-07-04,1.14
102900011030158,2020-07-04,0.99
102900011030400,2020-07-04,73.5
102900011030417,2020-07-04,141
102900011030905,2020-07-04,1.46
102900011031216,2020-07-04,6.11
102900011032176,2020-07-04,1.83
102900011032282,2020-07-04,2.5
102900011032480,2020-07-04,25.96
102900011032589,2020-07-04,4.02
102900011032787,2020-07-04,6.93
102900011033081,2020-07-04,3.24
102900011033173,2020-07-04,11.14
102900011033234,2020-07-04,2.15
102900011033241,2020-07-04,2.32
102900011033531,2020-07-04,12
102900011033562,2020-07-04,11.98
